"Emisión: 31/10/12 12:49:01
Los mas Vendidos Cant.
Año : '2012' , Mes : 'OCT' , Cantidad. : '1000' , Local : 'SUPER EL MERCADITO,SUPER EL MERCADITO (CAPACITACI'"
"QUAKER POLENTA MAGICA X 500 G",127.51,29,41.25,759
"POLVORITA FRUTILLA 150 G",92.41,29,26.9,759
"MORTIMER FIBRA ESP. FUERTE",87.26,29,29.84,759
"CRIOLLITAS TRES CEREALES X 140 G",110.44,29,31.27,759
"DANETTE AGUILA x 2",228.30348,29,61.39348,759
"COCA COLA X 2000 CC RETORNABLE",315.97,29,86.29,759
"CAREFREE ORIGINAL PROT 20U",320.60274,29,103.10274,759
"AZUCARADAS VAINILLA X 80 G",59.67,29,18.49,759
"BOLSA 3.50 PESOS",101.5,29,26.97,759
"GODET CHOCOLATE FAMILIAR X 100 G (TAZA)",233.30034,28.00004,78.7401,781
"SERENITO WAU VAINILLA PACK X 2",220.98014,28.00003,56.74002,782
"ALCO PURE DE TOM X 520G",88.34,28,23.38,783
"MOGUL FRUTALES X 50 G",56,28,16.24,783
"MAURI VAINILLAS X 160 G",135.69291,28,43.85291,783
"LAYS  X 85 G",340.91368,28,60.91368,783
"LA TUCUMAN.TAPA EMPANADAS X25U",182.63,28,56.63,783
"LA MORENITA TE X 25 SAQ.",47.56,28,13.96,783
"KNORR SOPA CREMA DE ESPINACA X 69",130.76,28,42.28,783
"ILOLAY YOGUR ENT.C/ TROZO FRUTI X 160",116.93772,28,31.53772,783
"GRANIX SALVADO 270G",140.42,28,36.82,783
"GRANIX FRUTIGRAN SEMILLAS CHIA/LINO X 24",209.57,28,59.69,783
"FRAU ALCOHOL PVC X 250 CM3",155.78,28,56.25,783
"SECAPISOS SACCHI N¬40",710.71999,28,246.55,783
"SANCOR FLAN CASERO 2 X 120 G CARAMELO",264.52,28,61.24,783
"PROCENEX ORIGINAL X 900 CC",161.03037,28,51.89037,783
"POWERADE MOUNTAIN BLAST  X 500 ML",175.87,28,80.64,783
"NOBLEZA GAUCHA YERBA AZUL X 500 G",338.37,28,91.97,783
"FLAN VILLA RICA X 120 G",84.5945,28,32.5145,783
"CIF CREMA X 375G",168.44156,28,7.62155,783
"BON O BON OBLEA BLANCO X 30 G",70,28,22.4,783
"BON O BON OBLEA NEGRA X 30 G",70,28,22.4,783
"AQUARIUS PERA X 500 CC",117.04311,28,27.16311,783
"SABROSITOS ALIMENTO P/PERRO MIX K",223.15361,27.33,77.48471,804
"BC MAYONESA X 250 CC",104.95088,27.00001,33.67088,805
"ILOLAY DESCREMADO C/CEREAL X 150 G",119.16,27.00001,33.57,805
"ARO JABON DE TOCADOR 3 X 90 G",174.19,27,60.79,807
"VIVERE CLASICO X 900 ML 7DIAS",273.47035,27,62.30035,807
"TERRABUSI TALLARIN 500 G",186.5707,27,51.0607,807
"SPRITE X 500 CC ZERO",134.73,27,22.41,807
"SEDAL SH CLIMA RESIST X 200",280.93,27,102.46,807
"SEDAL REC ESTRU SH X 300",347.73,27,118.38,807
"SANCOR BEBE YOGUR VAINILLA X 2",170.04339,27,35.73339,807
"RIVOLI ÐOQUIS X 500G",97.93,27,28.81,807
"PEHUAMAR MANI PELADO X 100 G",231.88,27,75.28,807
"PATITAS DE POLLO X 200 G",382.91256,27,115.61256,807
"YOGS CON TROZOS DE DURAZNO LIGHT X 180",196.28,27,49.88,807
"LYSOFORM AIR ORIGINAL X 360 CM3",420.29304,27,132.18304,807
"KNORR SOPA CAS POLLO Y MUNIC + FID",118.88,27,38.15,807
"JABON T.REXONA 3X125G",308.14788,27,105.91788,807
"JABON T.PLUSBELLE EQUIL.150G",129.54104,27,48.67104,807
"ILOLAY YOGUR C/ARITOS FRUTALES X 150 G",113.61844,27,32.34844,807
"GRANJA IRIS SALCHICHAS 225 G",271.43,27,75.41,807
"GRANIX SIN SAL 555 G",346.48,27,91.87,807
"FANTA X 1500 CC NARANJA",334.91036,27,79.57036,807
"DULCOR FRUTILLA LIGHT  X 420 G",177.96,27,54.03,807
"BARNY CORMILLOT EDULC X 250 ML",166.13,27,65.6,807
"DANETTE D.D.L.DUP.190G.",208.12,27,54.43,807
"DEL VALLE SIDRA E/BLANCA X 710 CC",192.83,27,21.07,807
"DANICA DORADA X 100G",107.73,27,29.43,807
"CACAO NESQUIK N/ACTIVE 180G.",226.93999,27,68.71999,807
"LA LOMA SARDO KG",1758.35114,26.98,840.05833,832
"MAIZENA X 200 G",86.88615,26.00001,30.19615,833
"ADES FRUTAS TOPICALES X 1 L",199.47765,26,50.24765,834
"LA SERENISIMA DESLAC.MULTIFRUT",163.54,26,39.26,834
"KOLYNOS 180G NUEVO",309.13824,26,96.29824,834
"KNORR CALDO DE VER X 6",167.35552,26,54.22552,834
"ILOLAY YOGUR ENT. DURAZ. BEBIBLE X  190",99.34999,26,26.28998,834
"GODET GELATINA DURAZNO X 100 G",115.54323,26,35.20322,834
"GATORADE MANZANA X 473 ML",241.65435,26,64.85435,834
"FLAN SIN HUEVO MANFREY DE VAIN",71.99929,26,19.65929,834
"FIDEO RIVOLI CINTA ARG X 500G",123.92,26,33.7,834
"FARGO LACTEADO X 470 G",351.32,26,93.4,834
"ESENCIAL VELAS X 4 CORTAS",65.79,26,23.15,834
"ESENCIAL LAV X 1 LTS",97.69853,26,28.53853,834
"DULCE D.L.LA SERENISIMA 400G.",253.1,26,67.46,834
"CUPIDO JABON TOCADOR X 3 UNDS",131.8,26,46.32,834
"ROCKLETS X 40 G",104.52,26,40.04,834
"PLUSBELLE JABON PURIFICA X140G",125.91,26,48.17,834
"PEPSI X 500 CC",130.44,26,32.02,834
"PANIER TOSTADAS C/GLUT.200G",192.14,26,55.64,834
"PALADINI PICADILLO DE CARNE X 90 G",92.83176,26,30.69176,834
"MORTIMER ESPONJA CUADRICULADA",92.69576,26,32.37576,834
"MOGUL GELATINA CEREZA X 60 G",85.19,26,26.43,834
"GRANIX  BALONCITO X 150 G",169.65,26,46.41,834
"CUMANA SARDINAS ACEITE X 88G",176.20352,26,46.46352,834
"ZUCOA X 180 G",93.33,26,28.59,834
"TERRABUSI SPAGHET.100 AÑOS",180.73,26,49.59,834
"SUSARELLI ROJO X 1 KG",263.57482,26,78.65482,834
"SUSARELLI AZUL X 500 G",194.02,26,57.5,834
"SPRITE X 1500 CC ZERO",336.56,26,79.06,834
"SER MANZANA VERDE X 9.6 G",36.2871,26,8.9871,834
"ROSAURA PAN RALLADO X 400G",158.52,26,41.52,834
"CINDOR LA COPA X 100 G",175.54,26,43.88,834
"BC MAYONESA X 125 CC",52.80422,26,15.10422,834
"ALA PLUS LAVAVAJILLAS 750 ML",172.29128,26,47.23128,834
"66 SALAME MILAN",1309.46992,25.64501,591.09912,867
"VANOLI ACEITUNA X 1K",643.15358,25.21496,340.57387,868
"AGUILA BARRA CHOC X 14 G AMARGO",50.84004,25.00002,20.59002,869
"FIDEO RIVOLI PUNTINE X 500G",93.18757,25.00002,29.43756,869
"MANTECA MANFREY CALIDAD EXTRA",236.15,25.00001,72.4,871
"SER TENTACION POSTRE D/LECHE 2 X 105 G",203.05999,25.00001,53.98999,871
"CAFIASPIRINA BAYER X UNID",7.5,25,3,873
"MOGUL GELATINA FRUTILLA X 60 G",82.86444,25,26.36444,873
"MOGUL GELATINA BANANA X 60 G",80.45,25,25.55,873
"MAROLIO YERBA MATE X 50 SAQ",227.31,25,67.42,873
"MANA LIVIANAS VAINILLA X 145G",101.23,25,30.48,873
"LA TUCUMANITA PASCUALINA",209.57,25,62.07,873
"LA TRANQUERA YERBA X 100 SAQ",461.98201,25,135.23201,873
"KNORR SOPA CREMA DE ARVEJAS CON JAMON X",115.4,25,36.4,873
"JUNIOR CON JUGO DE FRUTILLA X 200 CC",100.62,25,25.04,873
"JUGO CEPITA MANZANA T-B 200CC",50.16,25,16.91,873
"JABON P.ALA MATIC SOL 400G",160.41147,25,43.41147,873
"INCA JUGO P. CITRUS 30G",30.85,25,9.1,873
"HISOPOS Q-SOFT X 50 UNID",170.19921,25,61.19921,873
"HELLMANNS LIGHT MAYONESA X 125 CM3",72.89419,25,21.40419,873
"GODET POSTRE VAINILLA X 140 G",85.69,25,24.69,873
"GLADE CANASTA VARIOS X 27.5 FULL",148.11578,25,43.11578,873
"YOGS CON TROZOS DE FRUTILLA LIGHT X 180",183.52,25,45.74,873
"VITAL 3 X 200 ML",104,25,20.75,873
"VIRULANA EL BUDA 70 G",80.65,25,29.4,873
"SKIP INTELLIGENT PERFEC RESULTS X 400 G",231.9515,25,66.4015,873
"RECETAS DE LA ABUELA PEPAS X 200",106.66789,25,31.66789,873
"MOGUL TORTUGUITA 25G",49.80355,25,17.30355,873
"FIDEO RIVOLI CINTA ESPINACA  X 500G",119.89,25,33.14,873
"FANACOA MAYO. D.P.475G",169.21757,25,54.09757,873
"ESENCIAL TEXTURADO 4X30",179.48,25,58.48,873
"DRIVE FRES DE MAR X 400",108.84,25,32.84,873
"CALIPSO TOALLAS AZUL POCKET U/D",88.4,25,31.15,873
"CEREAL MIX LIGHT MANZANA X 23 G",75,25,23.25,873
"SER DULCE DE LECHE X 400 G",290.52015,24.00001,80.29005,901
"ACOND.SEDAL PRO NATU.200ML",243.57954,24,81.09954,902
"ALA JABON EN POLVO C/VIVERE X 800G",316.24,24,100.72,902
"VUAL PAPEL HIGIENICO 6 X 50 MTS",365.52482,24,115.92482,902
"VITINA CLASICA X 250G",147.87623,24,49.28623,902
"VILLA RICA PIMENTON X 25 G",55.88,24,28.1,902
"VILLA DEL SUR LEVITE PERA X 1500 CC",195.0378,24,58.2378,902
"TUNUYAN SIDRA X 750 CC",153.36,24,37.44,902
"TORASSO COLA X 2500 CM3",154.63,24,41.13,902
"TABLETAS FUYI X 24 UNID",464.10814,24,160.74814,902
"SUAVE SHAMP COCO Y LECHE X 930 ML",263.13,24,103.29,902
"SOLITAS PEPAS X 1 K",347.28001,24,109.04001,902
"SEDAL SH CREMA X 350 ML",374.59667,24,154.91667,902
"QUILMES LATA X 473 CC",225.36,24,59.28,902
"QUAKER AVENA TRADICIONAL X 400 G",176.73,24,62.57,902
"PUREZA HARINA C/LEV X 1KG",141.77191,24,41.19191,902
"PENNISI CAB EN ACEITE 380G",300.84,24,81.82,902
"NATURA MAYONESA X 1 KG",474.20001,24,154.98001,902
"MICHEL TORINO SUC. ABEL SELEC. TINTO X 7",190.01149,24,55.85149,902
"MAROLIO CAB EN ACEITE 380",290.23683,24,86.95684,902
"MAROLIO ANANA EN ROD X 850G",290.75209,24,87.47209,902
"MAGISTRAL MARINA X 300",265.24,24,120.9,902
"LYSOFORM DES AEROSOL BEBE X 360 G",392.05792,24,133.57792,902
"LUCCHETTI FIDEO SPAGHETTI X 500 G",180.37397,24,49.09397,902
"LUCCHETTI CALDOS VERDURA X 12 UNDS",168.90815,24,44.58815,902
"LA VIRGINIA TE VERDE X 25 SAQ",145.29,24,51.09,902
"KNORR SABOR EN CUBOS ALBAC.Y AJO X 4",138.44192,24,44.12192,902
"KIN AGUA MINERALIZADA S/GAS X 2000 CC",169.97,24,46.41,902
"KEKSY GELATINA CEREZA X 120 G",65.76,24,23.04,902
"JABON P.DRIVE MATIC CAB.B.400G",103.56,24,30.36,902
"JABON P.ALA MATIC C/VIVERE 800",318,24,112.16,902
"GODET GELATINA MANZANA X 100 G",106.30184,24,32.14184,902
"FIDEO RIVOLI DEDALES X 500G",87.60054,24,26.16054,902
"FAVORITA FIDEO MOSTACHOL X 500 G",111.54,24,32.82,902
"EXPRESS X 3 MAFALDA",191.8,24,51.16,902
"ECONOMICA LANA ACERO",81.5,24,41.9,902
"DOVE ACOND. RECON.COMPL.10ML",24.14,24,11.18,902
"BIO L.CASEI FRUTILLA X 95G",78,24,18,902
"BORITA SUAV VIOL X 900 CC",173.91119,24,68.55119,902
"BARFY HAMBURGUESA X 276 G",236.83998,24,84.91998,902
"SUAVE SHAM MIEL Y ALME X 930",255.29009,23.00001,102.11004,941
"ACTIMEL NATURAL X 100 CC",58.88,23,14.26,942
"KNORR SALSA PIZZA CICA X 340G",160.63179,23,49.31179,942
"ILOLAY CREMA DE LECHE X 200 G",160.64,23,44.72,942
"HEINEKEN BCA X 1 L (RET)",346.87,23,81.45,942
"GRANJA IRIS SALCHIC LIGHT X 5",221.97,23,66.35,942
"FIDEO RIVOLI CODITO X 500G",84.18027,23,25.30027,942
"FANACOA MAYONESA X 500 G",127.09781,23,37.85781,942
"ENVASE CER/GACEOSA",70.68,23,1.68,942
"ENCENDEDORES CANDELA",52.86,23,19.21,942
"DRIVE MATIC FR.MAR 400",102.22958,23,32.07958,942
"DONCELLA PROT.DIA. CON DEO 20U",93,23,37.34,942
"COLGATE TRIPLE ACCION X 90G",140.29,23,53.35,942
"CERROS TUC. DULCE DE LECHE X 1 K",362.84,23,109.84,942
"CASANCREM CLASICO X 320 GR",333.15,23,95.54,942
"SER YOGUR COLCHON DE FRUTAS X 190 G (FRU",183.89,23,47.21,942
"ROMYL BROCHES X 12 PLASTICOS",184.87292,23,94.02292,942
"POLYANA TALCO DE LUJO X 200 G",94.57,23,39.83,942
"NESCAFE DOLCA SUAVE X 170 G",560.41741,23,185.92735,942
"MAURI FAUNA X 400 G",188.00061,23,62.88061,942
"M&K LAVANDINA X 2L",181.44313,23,62.53313,942
"LANZER FOCO",139.02,23,72.32,942
"LA SERENISIMA LECHE FE DESCREMADA X 1 L",197.85,23,40.53,942
"BOB CHOCO",34.71,23,14.93,942
"BC MAYONESA X 500 G",213.45,23,63.26,942
"ARCOR TOMATE PERITAS PELADOS X 400 G",136.54,23,38.39001,942
"ALICANTE CALDO P/SAB GALLINA X 10G",31.11,23,14.09,942
"ACTIMEL VAINILLA X 100 G",61.76,23,17.14,942
"PROCENEX FLORES DEL JARDIN X 900 CC",105.99263,22.99999,32.63263,969
"RECETAS DE LA ABUELA BIZCOCHOS DE GRA",95.72009,22.00002,29.72002,970
"ARCOR DURAZNOS X 820 G",289.67,22.00001,78.25,971
"7UP X 500 CC",110.48,22,26.76,972
"BLEM LUSTRA MUEBLE X 400 CM",383.48,22,128.94,972
"SUAVE AC PEPINO Y MELON X 930",244.39,22,97.87,972
"LA VIRGINIA TE FILTRADO R.100U",260.5,22,82.79,972
"LA VIRGINIA MANZANILLA X 25 SAQ",73.54,22,23.6,972
"LA SIERRITA ACEITUNAS X 170 G",56.88,22,18.82,972
"JABON P.ALA MULT.800G.",278.74,22,111.98,972
"JABON P.ALA MATIC MULTIA.400G.",141.47,22,38.51,972
"ILOLAY VITA C/ TROZOS  DURAZ X 160",100.98,22,29.92,972
"ILOLAY BEBIBLE DESCREMADO VAINILLA X 190",92.35113,22,26.09113,972
"DULCYPAS BIZCOCHOS SALA.200G.",66.2,22,16.04,972
"VILLA RICA PROVENSAL X 25 G",90.24056,22,45.56056,972
"TRAVIATAS X 5 X 505 G",266.84404,22,78.08404,972
"DON YEYO TAPA P/ EMPANADAS HORNO X 330 G",158.18,22,45.98,972
"DANICA MARGARINA+LECHE 200 G",180.26,22,61.45,972
"CRIA DE COSECHAS TTO X 1250",333.98,22,138.18,972
"COLGATE TOTAL 12 PROFESIONAL WHIT. 100 G",402.35455,22,136.59455,972
"CEREALITAS CLASICAS 194G",124.44,22,32.7,972
"AYUDIN CANASTA VERDE X 16G",179.01,22,61.31,972
"AMANDA YERBA X 250 G",154.45028,22,42.69028,972
"AGUILA MINI TORTA CLASICA X 72 G",103.96918,22,36.64918,972
"PATY HAMB LIGHT X 4",519.12,22,174.82,972
"OSRAM FOCO 75/865",333.98,22,103.2,972
"MOGUL GELATINA MANZANA X 60 G",67.90332,22,20.18332,972
"MANFREY QUESO UNT. -C/SALAM",178.65,22,58.53,972
"MAGISTRAL LIMON X 600 ML",447.59,22,157.69,972
"LYSOFORM AIRE DE MONTAÑA AERO X 360 CM",310.41,22,93.27,972
"LA ESPAÐOLA LENTEJAS X 500 G",93.34981,22,24.48981,972
"ESPADOL JAB FRESH 3X90G",327.3,22,105.1,972
