"Emisión: 31/10/12 12:45:13
Los mas Vendidos Cant.
Año : '2012' , Mes : 'SEP' , Cantidad. : '1000' , Local : 'SUPER EL MERCADITO,SUPER EL MERCADITO (CAPACITACI'"
"ILOLAY YOGUR ENT.C/ TROZO FRUTI X 160",130.90146,33,35.52146,739
"HIGIENOL MAX 4 ROLLOS X 80 METROS",520.78913,33,201.01913,739
"GRANIX  BALONCITO X 150 G",218.76798,33,62.34798,739
"GODET GELATINA MANZANA X 100 G",134.65611,33,37.48611,739
"CITRIC NARANJA X 500 CC",220.20562,33,60.48562,739
"BC JUGO MANZANA X 200 ML",77.3133,33,23.8533,739
"VANOLI ACEITUNA X 1K",825.81045,32.52001,435.57023,758
"JUNIOR JUGO DE BANANA 200 CC",118.33141,32.00001,26.81142,759
"MAROLIO VINAGRE DE ALCOHOL X 500 CC",129.92404,32.00001,44.80404,759
"ACE JAB EN POL REGULAR X 400 G",207.18677,32,58.38677,761
"JABON PLUSBELLE CREMOSO 140G",156.78766,32,56.90765,761
"VIENISSIMA X 10 X 375 G",547.18831,32,150.06831,761
"VIENISSIMA C/QUESO X 225 G",401.01,32,118.45,761
"TOSTADAS DIET DULCES 200G.",236.48,32,68.48,761
"TORASSO POMELO AMARILLO 2.25LT",195.03994,32,51.03998,761
"SUSARELLI AZUL X 1 KG",427.36634,32,151.84634,761
"SER YOGUR COLCHON DE FRUTAS X 190 G (FRU",239.77173,32,62.17173,761
"ROLLO COC.SUSSEX 100P 2U",426.10318,32,135.54318,761
"PANIER TOSTADAS C/GLUT.200G",235.28269,32,67.28269,761
"MAROLIO PURE DE TOMATE X 360 G",105.4448,32,31.8448,761
"LA VIRGINIA TE X 50 SAQ",175.39554,32,54.75554,761
"JUGO P.TANG LIMONADA 25G.",57.85244,32,16.64244,761
"IRENE FIDEOS DOBLADITOS X 500G",289.02893,32,73.02893,761
"CINDOR LA COPA X 100 G",184.06648,32,47.42649,761
"GIGANTE LAVAVA  X 750 LIMON",167.12519,32,52.56519,761
"FARGO ÐOQUIS 500 G NUEVO",406.4,32,137.31,761
"BC MAYONESA X 250 CC",122.30207,32,35.42207,761
"LA VIRGINIA MANZANILLA X 25 SAQ",107.21481,31.99999,34.57482,779
"SAN IGINIO ALCOHOL  X 250 CC PLASTICO",173.15235,31.00002,64.96235,780
"ILOLAY CREMA DE LECHE X 350 G",395.52763,31.00001,114.04751,781
"MAURI SALVADO X 400 G",282.93346,31.00001,80.58346,781
"ACOND.SEDAL PRO NAT.PUR.R.200M",322.66499,31,112.79499,783
"ALA LAV LIMON X 750 ML",185.74757,31,59.26757,783
"ZUKO CERO JUGO MAN.VER 9G",23.25,31,10.23,783
"YOGS CON TROZOS DE FRUTILLA X 180 G",193.77892,31,45.90892,783
"VILLA DEL SUR LEVITE ANANA X 1.500 CC",248.81,31,66.41,783
"LUCCHETTI FIDEO SPAGHETTI X 500 G",233.56885,31,63.99885,783
"LA SERENISIMA CASANCREM LIGHT X 320 G",437.66,31,93.25,783
"ILOLAY YOGUR DEC.VITA FRUTILLA X 1 L",209.43754,31,50.40754,783
"HUGGIES CLASSIC XXG X 8",391.96406,31,105.60406,783
"GRANIX SIN SAL 555 G",379.23319,31,99.10319,783
"GODET GELATINA NARANJA X 100 G",125.74574,31,34.60574,783
"FIDEO RIVOLI TALLARIN CINTA ROSCA X 500G",148.61839,31,41.04837,783
"FEDERAL JABON 150G",112.25806,31,38.78806,783
"ESTRELLA SUPER ALGODON X 100 G",214.70814,31,73.65814,783
"DRIVE FLORES DE PER REG 400G",137.85631,31,43.61631,783
"DONCELLA ALGODON X 75 GRS",149.43234,31,51.16233,783
"CEREAL MIX FRUTILA Y YOGUR X 28 G",96.03239,31,29.90239,783
"ALICANTE PIMENTON X 50 G",125.67059,31,46.31059,783
"ALICANTE OREGANO X 50 G",286.10106,31,132.96106,783
"HOJALMAR LA LARGUITA 150 GRS",109.9748,30.00002,30.77474,802
"BABY ALGABO TOALLAS HUM X 80",278.70907,30.00001,119.10906,803
"HISOPOS Q-SOFT X 50 UNID",200.10404,30.00001,69.30403,803
"BARNY CORMILLOT EDULC X 500 ML",272.54974,30,92.84974,805
"KEVIN BY CANNON X 150 ML",615.92515,30,217.82515,805
"LA MORENITA CAFE  X 20 UNDS",391.97675,30,130.37675,805
"MOGUL BEN10 X 25G.",60.56,30,21.56,805
"VITAL 2 LECHE EN POLVO X 800",1880.88,30,397.08,805
"SUSARELLI AZUL X 500 G",222.41874,30,77.09874,805
"SER YOGUR C/CEREALES X 165 G NUEVO",181.93699,30,-584.16301,805
"SECAPISOS SACCHI N¬40",717.4168,30,219.4168,805
"PREFERIDO REBOZADOR X 500 G",184.84508,30,59.14508,805
"PEPSI X 500 CC",153.09062,30,48.99062,805
"KNORR PURE DE PAPAS X 125 G",250.08,30,96.04,805
"GRACIELA REAL 0000 X 5KG",870.55928,30,247.05929,805
"GRANIX SANDWICH X 200 G",122.13684,30,33.81684,805
"CREMA DOBLE ILOLAY 200ML",189.57173,30,74.97173,805
"ECO ESPONJA CON ABRASIVOS ESPECIALES",76.45721,30,32.95721,805
"CADA DIA MAYONESA X 500G DOY PACK",155.3,30,59,805
"MANFREY DULCE DE LECHE X KG",532.42863,29.815,165.10782,821
" M&K SAL GRUESA 1 KG.",68.73,29,21.46,822
"POLYANA TALCO DE LUJO X 200 G",117.82886,29,49.88886,822
"PLUSBELLE JABON T. EQUIL.140G.",142.42309,29,55.71309,822
"MICHEL TORINO SUC. ABEL SELEC. TINTO X 7",212.08591,29,54.92591,822
"MANTECOL X 40 G",130.77232,29,47.25232,822
"MANI PEHUAMAR FRITO SAL.100G",251.4876,29,83.2876,822
"LA SERENISIMA LECHE DESLA EN P X 400G",916.07,29,205.57,822
"KNORR SOPA CREMA DE ESPARRAGOS X 68.5 G",130.80611,29,39.16611,822
"FIDEO RIVOLI MOÐO MEDIANO X 500G",139.84936,29,39.21936,822
"DON YEYO RAVIOLES  ESPINACA CARNE X 500",412.40818,29,117.14818,822
"BABYSEC CLASICO C/BARR G X 9",209.47518,29,56.06518,822
"VILLA DEL SUR LEVITE NARANJA  X 2.250 CC",308.00352,29,92.24352,822
"TORASSO COLA X 2500 CM3",177.61,29,47.11,822
"TODOESPONJA REJILLA MUY ABSORBENTE",65.95054,29,31.44054,822
"TANG JUGO NARANJA DURAZNO X 25 G",53.17623,29,17.79623,822
"SWIFT GRASA X 1 KG",523.79684,29,120.98684,822
"SI DIET X 200 ML",171.53843,29,59.30843,822
"SHAMP.SEDAL PRO NAT.200ML",298.18499,29,101.85499,822
"SER YOGUR BEBIBLE FRUTILLA X 190 G",161.7967,29,37.9667,822
"SANTA ANA SELECCION TINTO X 700 CC",232.54,29,82.03,822
"SALSA ARCOR NAPOL. DP 340G.",159.94199,29,49.69199,822
"ARO JABON BLANCO X 200G",102.84564,29,40.78566,822
"ARCOR TOMATE PERITAS PELADOS X 400 G",158.26636,29,48.09636,822
"DON VALENTIN LACRADO TINTO X 750 CC",818.96,29,176.9,822
"ALICANTE COMINO MOLIDO X 25 G",122.84376,29,46.86378,822
"BABYSEC ULTRA (G) X 10 UNID",300.53148,28.99999,77.52148,847
"VIDACOL FRUTILLA 80 G",95.64461,28.99992,20.24482,848
"VILLAVICENCIO AGUA MINERAL X 1.500 CM3",150.60023,28.00003,43.36023,849
"GRANIX SIN SAL LIGHT X 360 G",270.44299,28.00001,69.16299,850
"SER COLCHON DE FRUTAS Y CEREAL",197.02655,28.00001,-414.44353,850
"ALA LAVAJILLA PLUS FRUTAS CITRICAS X 750",172.90562,28,58.66562,852
"ALICANTE CALDO P/SAB ALBAHACA Y AJO X 10",34.86581,28,14.14581,852
"LUX JABON T. REFRESCATE 125G.",135.9423,28,50.2623,852
"LA CAMPAGNOLA ATUN AL NATURAL  X 120 G",436.17362,28,125.93362,852
"INCA JUGO P. MANDARINA",33.52487,28,8.88487,852
"GRANIX FRUTIGRAN SEMILLAS CHIA/LINO X 24",209.38,28,56.86,852
"GODET FLAN DULCE DE LECHE X 65 G",85.49416,28,26.41416,852
"FRAU ALCOHOL PVC X 250 CM3",160.85552,28,62.09552,852
"DON YEYO TAPA P/ EMPANADAS HORNO X 330 G",200.62139,28,57.82139,852
"DOBLE COLA X 2250 CC",242.48,28,93.68,852
"DANETTE CHOCOLATE SUIZO X 2",208.27783,28,58.47783,852
"TOPLINE NEXT MINT",58.10352,28,32.06352,852
"SER BARRA DURAZNO X 23 G",110.73542,28,39.89542,852
"SALSATI SALSA PIZZA DP X 340 G",167.0235,28,47.4635,852
"RECETAS DE LA ABUELA BISCUIT X 140 G",175.47026,28,49.89026,852
"COCA COLA X 500 CC ZERO",140.42,28,23.94,852
"CHOCO CHIPS X 135 G",114.67759,28,35.33759,852
"CEREAL MIX GALLETA C/ AVENA Y PASAS 230",192.23169,28,54.47169,852
"BIO L.CASEI FRUTILLA X 95G",91,28,21,852
"LUX JABON DEGUSTAME 125G.",136.99943,27.99999,49.53943,871
"SKIP INTELLIGENT PERFEC RESULTS X 400 G",264.47852,27.99999,75.47852,871
"JUNIOR CON JUGO DE FRUTILLA X 200 CC",102.85509,27.99998,22.77509,873
"KNORR SOPA CREMA DE ARVEJAS CON JAMON X",129.49811,27.99998,41.01813,873
"ARCOR DULCE DE MEMBRILLO X K",451.9939,27.705,210.12924,875
"ILOLAY VAINILLA VITA DESC. X 1 L",189.46443,27.00003,50.9143,876
"QUESO UNT.LA SERE.CREMON 200G",254.0246,27.00002,58.00448,877
"GODET POSTRE VAINILLA X 140 G",88.67466,27.00001,26.03466,878
"MANA RELLENAS CHOCO X 165 G",137.06077,27.00001,38.24071,878
"ALICANTE COMINO X 50",190.55887,27,74.45887,880
"BROCHE DE ORO YERBA X 500 G",268.49216,27,78.95216,880
"AYUDIN LAVANDINA CONC X 1 LTS",158.53021,27,53.77021,880
"DON YEYO RAVIOLES  ESPINACA CARNE X 1KG",664.06567,27,192.64567,880
"GRANIX GALLETA LINO X 185 G",123.44106,27,34.66106,880
"ILOLAY YOGUR DESC VAIN.FIRME X 200 G",70.32,27,17.82,880
"TOSTADAS RIERA GLUTEN M.200G.",214.85725,27,57.17725,880
"RECETAS DE LA ABUELA BIZC AZUC X 200 G",114.04103,27,34.74103,880
"POZO MADALENAS X 250 G",190.97,27,50.57,880
"MANA LIVIANAS LECHE X 145 G",106.55,27,31.22,880
"MAIZENA X 200 G",86.33037,27,25.38037,880
"MAGISTRAL LIMON X 600 ML",552.96839,27,216.03839,880
"M&K TOMATE TRITURADO 970 G",297.97263,27,118.96263,880
"LUX JABON T. ENCANTAME 125G.",133.38141,27,48.40141,880
"LA VIRGINIA CAFE X 125 G",194.13,27,60.48,880
"LA SERENISIMA LECHE FE DESCREMADA X 1 L",224.93671,27,48.08671,880
"SEDAL SH CREC FORT NUEVO X 200",279.16487,27,123.91487,880
"SANCOR LECHE DESCREMADA X 1 L (LARGA VID",214.65,27,42.93,880
"ILOLAY CHOCOLATADA X 250 CM",115.00454,27,38.05454,880
"HUGGIES CLASSIC XG X 8",348.09776,27,97.57776,880
"GIGANTE ANTIB X 750 CC AMANECE",138.40156,27,22.30156,880
"GATORADE MANZANA X 1.25 L",565.47085,27,155.07085,880
"CEPITA MANZANA X 1 L",124.25307,26.00001,34.03302,902
"ESPADOL JAB COOL 3X90G",361.5612,26.00001,120.2812,902
"ACE JAB EN POL MINIESPUMA X 400 G",163.96396,26,43.06396,904
"CALIPSO ANAT C/FRAG X 8",64.4389,26,23.6189,904
"UNION YERBA C/P.4 FLEX 1KG",422.69458,26,130.45458,904
"SER TENTACION POSTRE D/LECHE 2 X 105 G",188.42359,26,38.57359,904
"SEDAL ACON RECONST X 300",332.0599,26,104.0399,904
"SED METAL ROLLITOS 6 UN 38 G",76.33648,26,27.71648,904
"LA TUCUMANITA ÑOQUIS 500G.",291.42156,26,96.42156,904
"HOJALMAR TRADICIONAL 150 GRS",95.69411,26,27.05411,904
"FIDEO RIVOLI FUSILLIS X 500G",98.9272,26,32.36721,904
"ESPADOL JAB FRESH 3X90G",391.74845,26,129.14845,904
"ECO ESPONJA FIBRA PULE",50.24874,26,20.60874,904
"VILLA DEL SUR LEVITE PERA X 1500 CC",208.86,26,43.56,904
"VILLA DEL SUR LEVITE MANZA X 1500 CC",206.98491,26,41.68491,904
"DULCYPAS BIZCOCHOS SALA.200G.",78.43,26,19.15,904
"ESENCIAL VELAS X 4 CORTAS",66.48919,25.99999,23.84919,918
"LYSOFORM DES AEROSOL BEBE X 360 G",380.31726,25.99999,120.09726,918
"VIRULANA ROLLITOS X 10 U",98.22644,25.99999,35.30644,918
"3 ARROYOS MED POLLO X K",875.84253,25.79501,360.71639,921
"QUERICO FIDEO DOBLADITO N¬ 2 X 500 G",167.05,25.00001,47.3,922
"ACE MATIC C/SUAV X 400",148.51905,25,29.78905,923
"ALA MATIC MULT C/VIVERE PERF. V X 400 NU",159.67933,25,45.32933,923
"FARGO LACTEADO X 470 G",336.87111,25,88.87111,923
"LUCCHETTI FIDEO TALLARINES X 500 G",189.20021,25,52.45021,923
"LINCOLN CLA.153G",116.55,25,33.3,923
"LAYS X 50 G",173.42935,25,28.42935,923
"LA SERENISIMA LEC HIERRO DES 1",165,25,33,923
"KINDER BUENO X 43 G",180.70986,25,62.95986,923
"JUGO P.BC LIMONADA 9.3G",37.54644,25,12.64644,923
"ISENBECK DESC X 1 L",270.67,25,76.92,923
"ILOLAY YOGUR DESC FRUT.FIRME X 200 G",64.71202,25,16.21202,923
"ILOLAY LECHE EN POLVO X 800 G",843.84411,25,232.84411,923
"ILOLAY FRUT BEBIBLE X 190 G",91.01749,25,24.60749,923
"GLADE PASTILLA C/RED X 25G",113.37319,25,40.37319,923
"FIDEO RIVOLI CINTA ARG X 500G",122.52306,25,35.77306,923
"FIBRALIMP ESPONJA",25.17422,25,11.67422,923
"FERRERO ROCHER BOMBONES X 3 UNID (37,5 G",175.44084,25,55.94084,923
"FAVORITA RAVIOLES RICOTA X 500",272.77,25,78.02,923
"BABY ALGABO TOALLAS HUM X 80 ALOE",224.56046,25,91.56046,923
"VUAL EXCEL 4X30",184.92006,25,64.67006,923
"VIRULANA EL BUDA 70 G",83.8206,25,32.57059,923
"SOLITAS SURTISOL FAMILIAR X 1 K",360.42,25,116.57,923
"SIEMPRE LIBRE ESP C/A 16",287.32,25,87.57,923
"SANCOR FLAN CASERO 2 X 120 G DULCE DE LE",232.07167,25,52.57167,923
"QUERICO FIDEO DOBLADITO N¬ 3 X 500 G",168.43178,25,48.68178,923
"QUAKER POLENTA MAGICA X 500 G",107.40998,25,34.90996,923
"PRESTO PRONTA X 750 G",218.55466,25,70.30466,923
"DANETTE D.D.L.DUP.190G.",182.90397,25,49.15397,923
"DRIVE FRESC.MAR 800G",233.63618,25,82.07618,923
"COCINERO ALTO REND 1LT",570.95001,25,226.45001,923
"BC JUGO DURAZNO X 1 L",169.67674,25,46.29674,923
"CACHAMATE HIER SERR YERBA X 500 G",308.40664,24.99999,108.15664,954
"66 SALAME MILAN",1232.31499,24.66501,540.85556,955
"PALADINI SALCHICHAS X 6 UNID",223.69781,24.00005,79.4575,956
"FIDEO RIVOLI CODITO X 500G",89.00653,24.00002,27.56654,957
"3D X 85G",281.14,24,47.09,958
"YOGS CON TROZOS DE FRUTILLA LIGHT X 180",165.20791,24,38.00791,958
"VUAL PH X 4",168.51,24,3.39,958
"VUAL PAPEL HIGIENICO 6 X 50 MTS",368.87809,24,119.27809,958
"SIEMPRE LIBRE ESP C/A 8",174.69203,24,58.87203,958
"SER ALFAJOR BAGLEY X 42 G",83.94522,24,23.22522,958
"SEDAL REC ESTRU SH X 300",305.97933,24,95.49933,958
"SARDINELA MAROLIO 125G",164.60612,24,49.88612,958
"SANCOR BEBE YOGUR VAINILLA X 2",142.63986,24,31.03986,958
"QUAKER AVENA TRADICIONAL X 400 G",194.8899,24,90.4899,958
"NIDO X 400 G",562.24834,24,176.67834,958
"NATURA MAYONESA X 1 KG",394.05106,24,51.94106,958
"MAROLIO VINAGRE ALC X 1000 CC",123.28317,24,36.16318,958
"MAROLIO SERV X 70 UNID",136.8,24,49.68,958
"MAROLIO PURE DE PAPAS X 125 G",138.44,24,48.8,958
"MANTY LIVIANA X 200 G",141.58502,24,48.22502,958
"LARIO SALCHICHAS 12 UNDS",218.52485,24,73.08485,958
"LA VIRGINIA CHOCOLINO X 180 G",144.7736,24,46.6136,958
"KNORR SABOR EN CUBOS ALBAC.Y AJO X 4",135.20472,24,42.32472,958
"KEVIN BY CANNON X 250 ML",602.80396,24,210.64396,958
"JABON T.REXONA MENTA 125G. 3UN",259.44012,24,79.68012,958
"ILOLAY FLAN VAINILLA C/DULCE D LECHE X 1",90.53146,24,22.37146,958
"ILOLAY CREM LIGHT X 300 G",243.46,24,61.3,958
"ILOLAY CREM CLS X 300",241.63392,24,68.35392,958
"GRANJA DEL SOL MILANESA DE SOJA  T.C  33",488.35719,24,167.95719,958
"GRANIX FRUTIGRAN C/AVENA Y PASAS X 250 G",181.64586,24,47.03586,958
"FIDEO RIVOLI TALLARIN ROSCA X 500G",114.13953,24,30.85953,958
"FARGO GALLETAS SALVADO X 225 G NUEVO",107.11029,24,27.67029,958
"FANTA X 1500 CC NARANJA",276.86991,24,66.86991,958
"ELITE HOJA SIMPLE 6 X 30 M ALOE",264.32689,24,84.32689,958
"DANICA MAYONESA FIESTA X 250 G",99.1639,24,32.4439,958
"CACAO NESQUIK N/ACTIVE 180G.",201.24522,24,60.60522,958
"BORITA SUAV VIOL X 900 CC",170.95978,24,68.95978,958
"BAGGIO MULTIFRUTA 1.5 L",237.62105,23.99999,71.46104,991
"VILLAVICENCIO AGUA SPORT X 750 CC",120.45991,23.99998,36.69997,992
"SABROSITOS CACHORRO X K",261.21425,23.85,97.30955,993
"SANCOR BARRA KG",1674.12759,23.3,630.05458,994
"DONCELLA ALGODON X 140G",220.15765,23.00001,75.48765,995
"IRENE FIDEOS DOBLADITOS VERDE X 500G",211.2255,23.00001,55.9755,995
"ALA SOL MATIC JAB EN POLVO X 400 G",141.47,23,39.66,997
"CBSE SILUETA CORMILLOT X 500 G",324.06,23,74.45,997
"CEREAL MIX LIGHT DURAZNO X 23 G",68.87205,23,21.26205,997
"DON YEYO ÐOQUI X 500 G",248.09,23,79.73,997
"VILLA DEL SUR LEVITE POMELO X 1500 CC",183.77,23,35.57,997
"QUILMES CRISTAL X 1 L (RET)",233.97,23,53.88,997
"PAMPERS BABYSAN P X 12 NUEVO",276.65971,23,74.71971,997
"MOGUL GELATINA FRUTILLA X 60 G",71.5,23,21.82,997
"MOGUL GELATINA BANANA X 60 G",70,23,20.32,997
"M&K LAVANDINA 1 LT.",83.39,23,31.41,997
"LUX JABON T TENT.DE PERA 125G.",110.85597,23,40.47597,997
"LA TUCUMANITA FIDEO CL X500GR.",213.95,23,66.75,997
"LA SERENISIMA LECHE FE ENTERA X 1 L L.V",190.80608,23,40.15608,997
"KOTEX PROTEC MULTIF S/P  20 U",201.91077,23,68.97077,997
"JABON P.ZORRO BIOCRISTAL 3KG",806.78932,23,272.03932,997
"JABON P.ALA MATIC MULTIA.400G.",144.19547,23,40.79547,997
"ILOLAY VITA C/ TROZOS FRUT .X 160",101.51391,23,31.00391,997
"ILOLAY CREMA DE LECHE X 200 G",159.67,23,43.75,997
"HUGGIES CLASSIC G X 9",290.49393,23,78.45393,997
"GATORADE NARANJA X 473 ML",212.86559,23,56.46559,997
"FANACOA KETCHUP X 250 G",104.65304,23,32.43304,997
"DANONINO BEBIBLE FRU X 100 G.",74.32116,23,20.27116,997
"SEDAL ACOND BALANC X 300",298.24382,23,96.53381,997
"CLEAR SHAMP DUAL EFF 2X1 X200ML",325.69589,23,117.54589,997
"BC JUGO MULTIFRUTA X 200 ML",52.86681,23,15.60681,997
"BOLSA 6.50 PESOS",154.20949,23,58.75949,997
"BAYASPIRINA BAYER X UNID",7.3,23,3.16,997
