"Emisión: 31/10/12 12:53:45
Los mas Vendidos Cant.
Año : '2012' , Mes : 'JUN' , Cantidad. : '1000' , Local : 'SUPER EL MERCADITO,SUPER EL MERCADITO (CAPACITACI'"
"GODET CHOCOLATE FAMILIAR X 100 G (TAZA)",200.35,25,66.35,783
"GIACOMO TRIDICCI X 500 G",494.09,25,144.95,783
"FARGO LACTEADO X 470 G",306,25,79.5,783
"FANTA X 1500 CC NARANJA",264.07,25,63.2,783
"ESENCIAL LINEA BLANCA 4X30",175.72,25,54.72,783
"DURAX PLA.PLAY.ORQUIDEA CIELO",87.25,25,87.25,783
"ODORONO REXONA X 60 G",254.2,25,83.71,783
"MERCI VAINILLA X 150 G",71.66,25,19.8,783
"MENTHO PLUS MENTOL",50,25,19.5,783
"MAROLIO ARVEJAS X 350 G",64.75,25,19.5,783
"MANA LIVIANAS COCO X 145 G",97.5,25,27.75,783
"LA MORENITA CAFE  X 20 UNDS",317.25,25,99.25,783
"INDIVIDUAL PLASTICO DECORADO",75.37,25,42.12,783
"INCA ARVEJAS X 350",72.91,25,21.66,783
"DOVE SHAMP. RECON.COMPL.10ML",25,25,11.5,783
"SUSSEX ULTRA X 140U",214.04,25,74.54,783
"SIMPRE LIBRE ADAPT TC X 8",198.86,25,66.86,783
"SECAPISOS SACCHI N¬40",563.61,25,169.38,783
"ROSAURA TARTAS MEDIANAS",255.6,25,255.35,783
"ROSAURA ROSQ DE ANIS",100,25,15,783
"PRESTO PRONTA X 750 G",208.2,25,59.95,783
"PAMPERS BABYSAN G X 16",528.68,25,90.43,783
"PALADINI PATE DE FOIE X 90 G",69.5,25,23.5,783
"DISPITA TOALL/HUMED LANOL/VIT/E",214.25,25,70.75,783
"DANICA FIESTA MAY X 100 CM3",42.49,25,12.24,783
"LUCCHETTI FIDEO TALLARINES X 500 G",164.86005,24.00001,44.14,816
"ALICANTE SOPA TIPO CRIOLLA X 72 G",118.68,24,40.68,817
"CASANCREM CLASICO X 320 GR",298.48,24,59.76,817
"CEREAL MIX LIGHT DURAZNO X 23 G",72,24,22.32,817
"CEREAL MIX LIGHT FRUTILLA X 28 G",72.42,24,22.74,817
"DRIVE FLORES DE PER REG 400G",103.9,24,30.7,817
"MOSTAZA SAVORA ANIV.D.P.500G.",201.26,24,54.38,817
"MAROLIO GALLETAS SURT X 360G",110.16,24,31.92,817
"MANTECOL X 250 G",366.3,24,108.06,817
"LUX JAB TENT DE PERA X 125G",100.9,24,31.54,817
"ILOLAY YOGUR DESC FRUT.FIRME X 200 G",60.96,24,15.12,817
"HOJALMAR RONDA X 150 G",74.43,24,19.71,817
"HIGIENOL MAX 4 ROLLOS X 80 METROS",382.61,24,170.93,817
"FESTIVA GALL CHIPS 300G",117.84,24,33.6,817
"EXPRESS LIGHT PACK  X 330 G",198,24,55.14,817
"DON YEYO RAVIOLES  ESPINACA CARNE X 1KG",552,24,157.2,817
"YOGS CON TROZOS DE FRUTILLA LIGHT X 180",158.16,24,36.72,817
"TERRABUSI SNACKY X 60 G",119.88,24,37.2,817
"SER BARRA DURAZNO X 23 G",93.6,24,32.88,817
"SER BARRA CEREAL PATAGONIA 23",92.7,24,28.2,817
"SANCOR DULCE DE LECHE X 400 G",260.58,24,72.42,817
"PORTEÐITAS X 130 G",84.98,24,13.46,817
"PLUSBELLE ACOND MANZ Y PERA X 1 L",268.38,24,82.38,817
"PAN P.PANCHOS FARGO 216G",178.15,24,47.11,817
"DANONINO BEBIBLE FRUTILLA PACK X 4",284.64,24,68.58,817
"YOGS SANCOR FRUTILLA LICUADO X 190 G",130.7,24,27.7,817
"YOGS SANCOR C/CEREALES X 170 G",150.96,24,30.72,817
"YOGS CON TROZOS DE FRUTILLA X 180 G",142.18,24,32.76,817
"DANICA SOFT LIGHT X 200 G",163.64,24,51.36,817
"CREMA DE L.MANFREY PAST.350ML",221.46,24,64.02,817
"CERROS TUC. DULCE DE LECHE X 1 K",371.76,24,107.76,817
"CADA DIA KETCHUP X 250 G",95.25,24,29.01,817
"BAGGIO PRONTO MULTIFRUTA NUEVO X 1 L",150.72,24,39.12,817
"SANCOR BARRA KG",1605.13485,23.39,606.38185,849
"KNORR SALSA PIZZA CICA X 340G",138.61009,23.00001,41.32003,850
"ARCOR ARVEJAS SECAS REMOJADAS X 350 G",95.69,23,29.91,851
"SEDAL AC CREC FORT NUEVO X 200",213.07,23,73.23,851
"ROSAURA TARTAS CHICAS",92,23,91.77,851
"PRITTY LIMON X 2250 CC",220.16,23,59.39,851
"MAROLIO YERBA MATE X 50 SAQ",180.47,23,52.59,851
"LYSOFORM DES AERO LAVANDA X 360",322.96,23,95.95,851
"LUCCETTI CALDOS GALLINA X 12 UNDS",153.14834,23,39.98834,851
"LA SIERRITA ACEITUNAS X 170 G",56.22,23,20.57,851
"LA SERENISIMA CREMA X 360 CC",269.9,23,61.55,851
"KNORR CALDO DE CAR X 6 COLECCION",115.4201,23,34.6901,851
"JUGO P.ARCOR LIMONADA 25G.",34.69,23,11.24,851
"JABON T.PLUSBELLE EQUIL.150G",109.91001,23,44.36001,851
"INCA JUGO P. LIGHT LIMON 10G",28.62,23,12.06,851
"HUGGIES CLASSIC XG X 8",265.15,23,71.81,851
"HARPIC BLOQUE P/MOCHILA X 2",468.86,23,155.14,851
"GODET BIZCOCHUELO COCO X 480 G",153.14,23,32.31,851
"FICEO RIVOLI MOÐO GRANDE X 500G",102.8,23,30.12,851
"FARGO RAVIOLES 4 QUESOS X 500 G",411.03,23,122.84,851
"FARGO PIZZA 2 UNID X 500 G",205.86,23,55.67,851
"FARGO LIVIANO X 440 G",264.95,23,69.91,851
"PALADINI SALAMIN PICADO FINO X 1 UND",344.79,23,124.22,851
"PAEL HSCOTT H SIMPLE. 30MT 4R",188.95312,23,61.07312,851
"DULCIORA DURAZNO X 500 G",130.5,23,33.55,851
"DOVE JABON HIDRA X 90 G",139.45,23,29.74,851
"DON YEYO ÐOQUI X 500 G",231.26,23,71.87,851
"AYUDIN LAVANDINA CONC X 1 LTS",110.34,23,33.87,851
"ARIES CARBON 3 K",197.88,23,59.88,851
"PATITAS DE POLLO X 200 G",294.10945,22.99996,85.26984,878
"PALADINI MORTADELA KG",1300.32161,22.51001,567.9153,879
"LA SERENISIMA CASANCREM LIGHT X 320 G",287.51012,22.00001,57.52003,880
"SOLITAS SURTISOL FAMILIAR X 1 K",282.13017,22.00001,101.72006,880
"3D X 85G",222.8,22,40.2,882
"ALICANTE PIMIENTA BLANCA MOLIDA SELEC 25",123.8,22,49.22,882
"DRIVE FRES DE MAR X 400",93.93435,22,26.83435,882
"YOGUR SANCOR FORT VAIN X 190G",86.44,22,17.9,882
"SUSARELLI ROJO X 1 KG",201.34,22,57.09,882
"SOPA ALICANTE C/VERD/FID. 72G.",109.19,22,53.53,882
"SERENITO CRASH VAINILLA PACK X 2",145.72,22,35.72,882
"SANCOR BEBE 3 X 1L",284.78,22,53.94,882
"PEPSI X 500 CC",100.04,22,36.46,882
"PAPEL H.PREMIUM DOB HO 50M 4U",507.01,22,160.95,882
"OREGANO ALICANTE 25GRS G.NEGRO",103.84,22,46.64,882
"OPERA OBLEAS X 92 G",100.05,22,25.76,882
"MOGUL FRUTALES X 50 G",44,22,13.64,882
"LUCCHETTI NIDOS FETTU X 500",163.9,22,42.46,882
"LECHE P.NIDO CREC.PREV.1 800G",1128.7,22,303.48,882
"LAVAN.AYUDIN FLOR LAVANA 1 L",121.98,22,35,882
"LA MIELERA MIEL DE AVEJA  X 250 G",174.3,22,46.45,882
"PLUSBELLE JABON ENERGIZA 140G",107.07,22,35.35,882
"PLUSBELLE JAB CER 3X125G",250.65,22,77.07,882
"JUGO P.CLIGHT MELON GRECIA 9G.",39.38,22,12.54,882
"JABON T.REXONA NATURAL 3UN",251.22,22,81.82,882
"JABON T.REXONA ACQUA 125G",88.72,22,30.64,882
"JABON T.LUX DEGUSTAME 125G.3U",304.56,22,98.58,882
"IRENE FIDEOS DOBLADITOS X 500G",182.48,22,46.96,882
"ILOLAY FLAN VAINILLA C/DULCE D LECHE X 1",81.04,22,19.99,882
"ILOLAY CHOCOLATADA X 1 L",177.76,22,50.6,882
"GRANIX FIESTA SURTIDAS X 350 G",141.77999,22,37.97999,882
"DULCE D.L.LA SERENISIMA 400G.",203.82,22,54,882
"CLIGHT FRUTOS ROJOS X 10 G",39.88,22,13.04,882
"DON YEYO RAVIOLES CUATRO QUESOS X 500 G",312.18,22,89.32,882
"AQUARIUS PERA X 1500 CC",173.52,22,45.26,882
"ARCOR MERM DURAZNO X 454 G",221.98,22,63.14,882
"3 ARROYOS MED POLLO X K",652.28711,21.52,203.16472,914
"LA PAULINA QUESO BARRA X  K",1089.42033,21.18,441.3124,915
"BOLSA 5.00 PESOS",105.7001,21.00002,34.30003,916
"ACTIVIA BEBIBLE PERA KIWI X 200 G",128.43,21,29.82,917
"ZUKO CERO JUGO POM.ROS 9G",17.07,21,8.25,917
"YOGUR ENTERO MANFREY BEB DURAZ",134.2,21,30.62,917
"WOOLITE ROPA FINA X 120",77.67,21,26.64,917
"WOOLITE BEBE X 120 ML",78.69,21,27.66,917
"VIRULANA ESP FUERTE",62.37,21,27.72,917
"VIRULANA ESP CUADRADITOS",75.67,21,34.72,917
"TRAVIATAS X 5 X 505 G",208.33,21,56.5,917
"TORTITAS CHOCOLATE  X 125 G",81.9,21,15.33,917
"TOPLINE STRONG X 4 UNID",31.71,21,11.55,917
"TOPLINE BUBBLE GUM TIRA",31.5,21,9.87,917
"SERTAL PERLA X UNID",45.36,21,20.16,917
"SEDAL ACON RECONST X 300",235.41,21,76.02,917
"SEDAL ACON CERAMIDAS X 350 ML",294.9,21,113.09,917
"SEDAL AC CERAMIDAS NUEVO X 200",193.83,21,66.48,917
"SAVORA SUAVE X 200G",128.1,21,36.75,917
"RECETAS DE LA ABUELA MEDIALUNITAS X 200",82.89,21,21.61,917
"PROCENEX TROP X 900 CC",80.12,21,31.4,917
"PLUSBELLE JABON PURIFICA X140G",101.08,21,32.62,917
"ORAL B CRE.DENT.COMPLETE  140G",282.54,21,69.81,917
"LA SERENISIMA LECHE DESLA EN P X 400G",629.79,21,129.19,917
"KNORR SOPA CREMA DE ZAPALLO X 69 G",89.84,21,30.09,917
"KNORR PURE DE PAPAS X 125 G",129.99,21,40.74,917
"KNORR CALDO DE GALLINA EDICION X 6",118.95,21,35.16,917
"JUGO P.TANG LIMONADA 25G.",33.61,21,10.51,917
"HELLMANNS KETCHUP X 250G",135.3,21,39.87,917
"HALCONERO VINAGRE DE ALCOHOL 930 G",72.36,21,21.33,917
"GODET POSTRE VAINILLA X 140 G",63.21,21,17.01,917
"GALLO ORO ARROZ  X 500 G",162.78,21,47.28,917
"FIDEO RIVOLI MOÐO MEDIANO X 500G",94.02,21,27.66,917
"FATY GRASA X 1 KG",363.36,21,118.71,917
"EXPRESS CLASICAS X 324 G",147.59,21,50.24,917
"EL DIQUE VINAGRE X 1L",88.58,21,27.68,917
"DRIVE FLORES DE PER REG X 400G",90.09,21,26.04,917
"COFLER BLANCO Y LECHE X 60 G",145.44,21,48.84,917
"COCA COLA X 500 CC ZERO",98.07,21,16.45,917
"CHEETOS X 85 G",210,21,35.7,917
"CEREAL MIX FRUTILA Y YOGUR X 28 G",62.87,21,20.5,917
"CBSE SILUETA CORMILLOT X 500 G",295.54,21,66.85,917
"BON O BON OBLEA BLANCO X 30 G",53.2,21,22.96,917
"BARNY CORMILLOT EDULC X 250 ML",116.06,21,42.77,917
"BAGGIO SOY YO NARANJA X 1 L",136.29,21,35.49,917
"BAGGIO LIVIANO MULTIFRUTA X 1.5 NUEVO",171.15,21,55.65,917
"ARCOR CHOCLO AMARILLO CREMOSO X 350 G",139.09,21,38.99,917
"BON O BON POSTRE X 110 G",134.19,20.99999,43.05,961
"MAROLIO CAB EN ACEITE 380",235.44,20.00001,66.04,962
"ADES MANZANA LIGHT X 1 LTS",141.56,20,34.56,963
"ALICANTE CALDO DE PUERRO X 10",25,20,10.2,963
"ALICANTE PROVENZAL 25 G",85.5281,20,37.9281,963
"BAYASPIRINA BAYER X UNID",6,20,2.4,963
"LA VIRGINIA TE FILTRADO R.100U",231.41,20,73.21,963
"LA MORENITA MATE COCIDO  X 25 SAQ",39.24,20,10.04,963
"KNORR SOPA CREMA DE ESPINACA X 69",86.18,20,29.42,963
"FIDEO RIVOLI PAMPERITO X 500G",72.8,20,21.6,963
"FARGO PIONONO X 200G",208.48,20,58.28,963
"CRIOLLITAS TOSTADAS CLASICAS X 160 G",125.54,20,34.34,963
"CALIPSO PROTECTORES ANATOMICOS X 20 UNID",72.74,20,23.64,963
"BUSCAPINA COMP X UNID",40,20,16,963
"BAGGIO SOY YO NARANJA X 200 ML",40.25,20,7.25,963
"BABYSEC ULTRA XXG X 8 UNID",204,20,54.2,963
"ALWAYS PROTECTORES X 80 U",515.56,20,185.96,963
"ALWAYS PROT.DIA. SEGURA 18UN.",139.32285,20,49.32285,963
"ALICANTE CHIMICHURRI X 25 G",60.6101,20,24.8101,963
"AGUILA MINI TORTA COCO X 73 G",80,20,24.16,963
"YOGUR SANCOR FORT FRUT X 190G",78.29,20,16.12,963
"YOGS FORTIFICADO DURAZNO X 1 L",168.2,20,33,963
"VITAL 2 LECHE EN POLVO X 800",1166.6,20,233.4,963
"VILLAVICENCIO AGUA MINERAL X 500 CM3",84.39,20,26.63,963
"UNION MATE COCIDO SAQ X 50U",216,20,59.28,963
"SEDAL AC BALANCE NUEVO X 200",181.06,20,59.79,963
"ROCLETS MAX X 50 G",82.8,20,30.72,963
"RI-K MAYONESA X 500",143.52,20,41.92,963
"RECETA DE LA ABUELA MINI SCONES X 200 G",80.36,20,23.48,963
"ZORRO BIO CRIST 800G SAUV",167.4,20,52,963
"POSTRE BON O BON B/CHOC 120G",173.57,20,56.37,963
"PLUSBELLE CREMOSO X 3",232.85,20,76.94,963
"PAMPERS JUEGOS Y SUEÐOS X 12 (M)",292.4,20,105,963
"MINI OREO X 50 G",68.78,20,23.62,963
"MENTHO PLUS STRONG X 30.6 G",40,20,11.4,963
"MANA RELLENAS CHOCO X 165 G",101.2,20,12.2,963
"LYSOFORM AIR ORIGINAL X 360 CM3",277.73,20,80.33,963
"LUSTRA MUEBLES BRISHINE X 250 CC",117,20,36.4,963
"TIC TAC NARANJA X 16 G",50.2,20,17.2,963
"RECETAS DE LA ABUELA BIZC AZUC X 200 G",79.8,20,23.2,963
"JUGO CEPITA NARANJA T-B 200ML.",44,20,13.38,963
"GRANIX SIN SAL X 185 G",84.39,20,21.99,963
"GRANIX SALVADO 705 G",239.69,20,62.89,963
"GRANIX GALLETA CEREAL X 185 G",78,20,21.2,963
"GRANIX BIZCOCHOS GIRASOL X 180 G",100.07,20,27.27,963
"GATORADE MANZANA X 1.25 L",376.8,20,104.8,963
"FORMIS CHOCOLATE X 108 G",79.41,20,25.01,963
"FORMIS BLACK X 108 G",78,20,23.6,963
"ESENCIAL LAV X 1 LTS",75.32,20,22.12,963
"DOVE PROTECCION TERMICA ACOND  X 200 ML",242.24,20,97.04,963
