"Emisión: 10/09/12 12:05:02
Los mas Vendidos $
Año : '2012' , Mes : 'AGO' , Cantidad  : '5000' , Local : 'SUPER EL MERCADITO,SUPER EL MERCADITO (CAPACITACI'"
"M/NARANJA TRAPO DE P GRIS 50X6",74.20099,15,24.70099,1950
"JABON T.LUX SORPRENDEME 125G.",74.1074,15,26.7074,1951
"47 STREET BODY SPLASH URBAN X 160 ML",74.07714,3,23.19714,1952
"PANTENE BRILLO EXTREMO X 200 ML",74.03,5,24.68,1953
"DISPITA CUNERO SONAJERO",74.02,2,19.84,1954
"VALLAVICENCIO  AGUA MINERAL GASIFICADA X",73.97,13,19.37,1955
"ARCOR MERM FRUTILLA DIET X 390 G",73.96,5,22.41,1956
"COCINERO FRITOLIN OLIVA X 120 G",73.96,4,21.2,1956
"FAVORITA FIDEO NIDOS X 500 G",73.95599,14,20.05599,1958
"QUICK VEGETALES 5 X 15 G",73.91991,9.99999,-0.00002,1959
"COLGATE TOTAL PROF SENSI X 90",73.89,4,24.57,1960
"LA SERENISIMA LECHE POLV. 200G",73.85,7,17.92,1961
"EXTRALIMP PAÐO 2 EN 1",73.70879,13.99999,44.8688,1962
"GLADE DEO JAZMIN X 360 CC",73.60685,9,23.01685,1963
"BC JUGO MANZANA X 200 ML",73.59,31,23.37,1964
"KNORR CALDO VERDURA LIGHT S/CAL X 15G",73.5,14,21,1965
"ALWAYS BASICO C/A T.SUAV X 16",73.42926,8,25.32926,1966
"FIDEO RIVOLI CINTA ARG X 500G",73.41,15,21.36,1967
"AQUARIUS PERA X 1500 CC",73.34826,8,23.33826,1968
"FIDEO RIVOLI ENTREFINO X 500G",73.3,20,22.1,1969
"MC CAIN PAPAS PRE-FRITAS TRAD X  400 G",73.14,6,22.92,1970
"NIKOV VODKA X 1 L",73.08,3,24.36,1971
"MAMAD. BABELITO HIPO Nº1 270",73.04,2,25.92,1972
"PLUMERO  CH  X 1 UND",73.03487,6,31.99487,1973
"KEVIN BY CANNON X 250 ML",73,3,24.32,1974
"SALSATI PULPA TOM.C/AZUC.520G",72.98524,20,22.64523,1975
"MAROLIO FIDEO SPAGHETTI X 500 G",72.84538,16.99999,21.50541,1976
"EVEREADY AAA X 2 UNID",72.82472,9,26.74472,1977
"LECHE SERECOL FITO.O3 E.X.1LT",72.8,5,15.5,1978
"PROCENEX PINO LIMPIADOR 3 EN 1 X 1800",72.69601,8,23.41601,1979
"PLUSBELLE JAB CER 3X125G",72.55,6,25.21,1980
"ESTILO SPA ESPONJA P/BAÐO EXFOLIANTE",72.45,5,44.2,1981
"COFLER OBLEA  2",72.42,24,25.14,1982
"DAYS SUPREME 2 EN 1 X 8",72.16,7,25.54,1983
"DURACELL D (GRANDE) X 2 UNID",71.97,3,20.73,1984
"GENTLEMAN FRUTILLAS ENTERAS COMUNES 380",71.91,5,-0.39,1985
"PASO DE LOS TOROS POMELO X 2250 CC",71.91,5,17.71,1985
"MATARAZZO TIRABUZON X 500 G",71.91,9,18.15,1985
"SUSSEX ULTRA X 70U",71.87787,16,24.83787,1988
"KNORR SABOR EN CUBOS ALBAC.Y AJO X 4",71.86,13,21.55,1989
"ALA PLUS LAVAVAJILLA C / GLICERINA X 750",71.82999,10.99999,10.62999,1990
"REXONA WOMEN NUTRI X 105",71.69,5,24.77,1991
"AGUILA ALFAJOR BOWNIE X 74 G",71.61396,18,20.13396,1992
"ECO BOLSA RESIDUO 50X 70 CM",71.58,7,29.37,1993
"EQUALSWEET STEVIA EDULC  100ML",71.56,3,24.4,1994
"HELLMANNS LIGHT MAYONESA X 125 CM3",71.55998,25.99999,-46.17,1995
"GENERATOR REX HUEVO 22 G",71.5,13,27.95,1996
"PATRICHS AIR  X 105 G",71.4,6,26.94,1997
"TANG JUGO NARANJA DURAZNO X 25 G",71.38,44,20.92,1998
"MAROLIO MERM DAMSC LIGHT X 390G",71.36,9,20.24,1999
"ARCOR MERM DURAZNO X 454 G",71.33,7,20.79,2000
"VILLA RICA VAINILLIN X 100 CC",71.33,12,26.45,2000
"JOVIFEL JARRO DE ACERO 12",71.32745,3,30.97745,2002
"BABELITO MAMADERA SELVA  250 ML",71.32441,2,28.82441,2003
"JABON P.ACE MATIC 1.5KG.",71.31,3,22.65,2004
"BAGGIO LIVIANO NARANJA DURAZNO X 1.5 L",71.23,8,21.87,2005
"MR MUSCULO PROMO 30% DE AHORRO",71.2,5,13.5,2006
"PROCENEX FLORES  LIMPIADOR 3 EN 1 X 1800",71.08,8.00001,21.8,2007
"SER JUGO ANANA TROPICAL CAJA X 18 UNDS",71.06558,3,-0.15442,2008
"BABELITO BOCA ANCHA 250 CC",70.99,1,25.4,2009
"VITAL 1 X 200 ML",70.98,14,14.28,2010
"STONE DEO SESSION CHILLI 168ML",70.96,4,23.84,2011
"GLADE SEN. ELEC NECTAR FL FULL",70.88,2,29.42,2012
"DETER.BORA MAGIC COLAG.600ML.",70.87999,9.99999,30.97999,2013
"LYSOFORM LAVANDA X 450CC",70.87977,9.99997,29.17991,2014
"CBSE HIERBAS CUYANAS X 500 G",70.85,5,22.45,2015
"PLUSBELLE AC LECHE DE ALM X 1LTS",70.56,6,23.46,2016
"HEAD & SHOULDERS ACOND  A HUMECT. 400 ML",70.54,2,27.56,2017
"REXONA DEO ADVENTURE X 105",70.51,4,23.6,2018
"HARPIC BLOQ PARA MOCHILA PINO X 50 G",70.44,6,23.64,2019
"ECO ESCOBA PLUMA",70.41,5,30.96,2020
"BC MERMELADA FRUTOS ROJOS X 390 G",70.4,4,23.4,2021
"SER DULCES VAINILLA X 130 G",70.29,11,17.82,2022
"JUGO P.BC POMELO RASADO 10.3G",70.24,47,24.65,2023
"TALCO JUANCHO 100G.",70.19,7,23.92,2024
"ALICANTE CALDO P/SAB VERD X 10",70.0652,55,30.4652,2025
"REXONA MEN ANTITRANS. INVISIBLE  X 105 G",70.06004,4,23.48001,2026
"ARCOR ACEITE DE MAIZ X 1 LT",69.99996,4,17.35999,2027
"TORASSO POMELO ROSADO  2500 CM",69.99989,11,18.18989,2028
"BARNY CORMILLOT EDULC X 250 ML",69.99,12,28.41,2029
"PRESTO PRONTA CEBOLLA Y QUESO X 400 G",69.97,10,20.27,2030
"GLADE REP CANASTA BRISA DE MAR X 27.5",69.94566,14,21.50566,2031
"PEPSI X 1500 CC MAX",69.94,6,16.6,2032
"COFLER BLOCK MANI C/CHOC  40G",69.91332,20,20.31332,2033
"SPRITE X 1500 CC VIDRIO",69.90979,8.99997,19.02995,2034
"DON VALENTIN LACRADO 3x2x750",69.9,1,17.93,2035
"TARAGUI TE FIL.ESP 100S",69.9,5,18.5,2035
"VIRULANA GUANTE G",69.9,5,26.15,2035
"FIDEO RIVOLI CODO X 500G",69.89082,19,21.25082,2038
"NATURA MAYONESA X 332 G",69.88419,8,21.48419,2039
"CIF ACTIVE GEL NARANJA POMELO X 300ML",69.86,7,21.63,2040
"JUNIOR LECHE SAB. BANANA 1L.",69.57,9,13.95,2041
"THOLEM JAMON DE LA SIERRA X 190 G",69.54,7,15.01,2042
"ARCOR MERM DAMASCO X 454 G",69.51853,7,18.97853,2043
"VANISH DOY PACK X 400 ML",69.49,7,27.32,2044
"FRAU VINAGRE ALCOHOL 1LT.",69.3788,16,21.5388,2045
"DOVE COLOR DURADERO SH X 200 ML",69.20762,5,25.95762,2046
"GODET FLAN DULCE DE LECHE X 65 G",69.19,23,20.66,2047
"CELUSAL LIGHT ESTUCHE X 500",69.16,4,21,2048
"GEMPLAST MESA NIÑO",69,1,26.7,2049
"SENSODYNE CREMA DENT.RAP. ALIV",68.98,2,23,2050
"ALGABO REPAR.PUNTAS REEST.60CC",68.97,3,25.86,2051
"JUGO P.ARCOR PERA 25G.",68.95999,45.99999,27.1,2052
"YERBA UNION C/P.500G",68.94,6,18.12,2053
"7UP X 1250 CC VIDRIO",68.83,9,17.11,2054
"BIO L.CASEI FRUTILLA X 95G",68.82983,20.99995,16.32996,2055
"BC MAYONESA X 125 CC",68.8,31,21.68,2056
"SANTA ISABEL BORG. CLASICO X 750 CM3",68.75,5,23.85,2057
"TIA MARUCA BIZCOCHITOS DE GRASA X 200 G",68.75,11,18.15,2057
"GODET BIZCOCHUELO MARMOLADO X 500 G",68.72,8,19.76,2059
"DOVE CONTROL CAIDA ACOND X 200 ML",68.66,5,25.41,2060
"HERBAL ESSENCES SA HIDRADISIACO X 355",68.66,5.00001,22.76001,2060
"DRIVE FRES DE MAR X 400",68.64,16,20,2062
"ALICANTE CONDIMENTO PARA PIZZA X 25 G",68.58,19,27.16,2063
"ARCOR MADAGASCAR GALLETA 80G",68.58,34,23.36,2063
"LA SERENISIMA POR SALUT X 200 G",68.53374,7,17.71374,2065
"HILERET SWEET X 200",68.51,10,22.51,2066
"RECETAS DE LA ABUELA MEDIALUNITAS X 200",68.49999,17,20.05,2067
"SUAVE SH JAZMINY 930ML",68.46,6,22.62,2068
"OPERA OBLEAS X 92 G",68.4,14,23.6,2069
"HINDS CREMA X 150",68.22982,6,24.36982,2070
"MAROLIO COCTEL DE FRUTAS X 820 G",68.15,6,19.55,2071
"BOLSA 4.50 PESOS",68.13,15,29.28,2072
"M&K CHOCLO AMARILLO X 350G",68.13,11,18.31,2072
"BC JUGO MULTIFRUTA X 200 ML",68.08092,30,19.48092,2074
"VITINA ESPINACA X 250G",68.08,14,23.84,2075
"H&S SHAMP ACCION HUMECTANTE X 200 CC",68.06,4,19.94,2076
"JOVIFEL COLADOR 2",68,4,30.04,2077
"PASO DE LOS TOROS POMELO LIGHT X 1500 CC",67.94,6,16.28,2078
"SUAVE ACON MIEL Y ALME X 930",67.91,6,22.07,2079
"PATYNESA REBOSADAS  X 452 G",67.83,3,19.92,2080
"YESI HERMETICO RED.4 LTS.C/F.",67.77,3,30.12,2081
"ALFAJOR B&N TRIPLE 73.5G",67.74137,17,20.68137,2082
"POETT LIMPIADOR LIQUIDO LAVANDA X 900 CC",67.73,14,19.85,2083
"GANCIA X 450 CC",67.65,4,19.25,2084
"PALADINI REGGIANITO X K",67.6062,0.71,25.5174,2085
"LA CAMPAÐOLA TOMATE PELADOS X 400 G",67.57,11,22.36,2086
"AQUARIUS MANZANA X 500 CC",67.56138,12,17.52138,2087
"FARGO GALLETAS SALVADO X 225 G NUEVO",67.54789,16,18.90789,2088
"ANGELITOS MALVAVISCOS 200 G",67.53128,5,20.03128,2089
"JUGO P.BC NARANJA 9.7G",67.52,45,23.87,2090
"HEAD SHOULDERS PREV CAIDA SH X 400 ML",67.5,2,24.52,2091
"POETT BRISA POLAR X 900 CC",67.49501,13,19.55501,2092
"KOSIUKO DEO AZUL X 120G",67.48,3,24.52,2093
"YERBA CRUZ DE MALTA DESP.500G",67.48,6,18.82,2093
"BOOG MANZ 30 G",67.45,44,21.69,2095
"EXTR.DE TOMATE INCA 150G",67.45,15,22.15,2095
"GLADE CANASTA REP CUMBRES",67.45,5,20.65,2095
"PANTENE SHAM HIDRATACION BALANCEA 400 ML",67.40209,3,15.17209,2098
"DOLCA CORTADO X 180G",67.36,4,20.92,2099
"BC JUGO MANZ X 1 L",67.27,11,18.98,2100
"ADLER SALAME X 100 G",67.13017,7.00002,19.04005,2101
"SUSSEX ULTRA X 140U",67.12,8,26.56,2102
"MAROLIO VINAGRE DE MANZANA X 500",67.06445,12,19.18445,2103
"QUESO UNT.FINLANDIA LIGHT 2",67.04,7,16.22,2104
"SUAVE ACON MANZA X 930",66.93,6,21.09,2105
"M&K CEPILLO DE DIEN PREM X 2",66.71566,9,30.53566,2106
"SACACORCHOS LOEKEMEYER",66.44,2,24.92,2107
"MAGISTRAL NARANJA X 300",66.42991,6.99999,25.82997,2108
"VIRULANA CHATITA DE BRONCE",66.39,10,30.39,2109
"HOGARE±AS MIX DE CEREALES X 176 G",66.36001,14,17.29,2110
"KEKSY GELATINA CEREZA X 120 G",66.34256,24,23.62256,2111
"CACHAMAI SILUET YERBA X 500 G",66.31001,5,18.96001,2112
"ESENCIAL BOLSA REC N¬3",66.30799,15.99999,23.74799,2113
"DULCOR DAMASCO LIGHT  X 420 G",66.08,10,20.6,2114
"INCA JUGO P. LIGHT ANANA 10G",66.06417,55,26.46417,2115
"ALGABO COMBO SHAMPOO/ACOND.+ CREMA",65.97,3,26.04,2116
"X5 LAVANDINA X 2 L",65.90788,10,19.00788,2117
"DULCOR DAMASCO X 454G",65.9,9,19.28,2118
"LICOR TRES PLUMAS CH.ALM.700ML",65.88,3,20.91,2119
"BC JUGO DE NARANJA X 200 ML",65.85712,29,18.87712,2120
"TERMO MATE",65.8,2,32.94,2121
"QUESO UNT.FINLANDIA 200G",65.73,7,14.91,2122
"MATARAZZO MOÐO X 500 G",65.69,7,17.25,2123
"INCA JUGO DURAZNO LIGHT 10 G",65.4,53,27.24,2124
"SUAVE SH FRUTOS ROJOS X 930",65.4,6,19.56,2124
"AXE 2012 X 160 ML",65.38,4,24.2,2126
"AXE DESOD VICE X 160 ML",65.37,4,23.53,2127
"NORTON MALBEC X 750 CC",65.37,3,17.82,2127
"NORTON SYRAH X 750 CC",65.37,3,13.23,2127
"NORTON TEMPRANILLO X 750 CC",65.37,3,13.23,2127
"SPRITE X 500 CC ZERO",65.32,13,11.24,2131
"FANACOA MOSTAZA X 250 G",65.29268,16,20.81268,2132
"VERITAS TALCO ESENCIAL X 110G",65.25,8,18.77,2133
"LOMITOS MAROLIO ATUN AL NATURAL 120 GRS.",65.24,7,18.62,2134
"ROMYL REPASADOR CLASICO",65.22394,6,36.48394,2135
"AXE MUSK X 160 ML",65.2062,4,23.3662,2136
"ELVIVE AC COL VIVE 200 M",65.16,4,21.84,2137
"GLADE MAÐANA DE CPO X 360 CM",65.04,8,20.74,2138
"BC MERMELADA ARANDANO X 390 G",65.03709,4,18.03709,2139
"RIVOLI FARDO OFERTA X 5 KG",65.02,2,17.3,2140
"QUAKER MAGICA X 750 G",65,10,16.6,2141
"SNACK MIX PEPSICO 47 GRS.",64.9686,13,11.0186,2142
"ARCOR DULCE DE BATATA C/CHOCOLATE X 500",64.93,9,20.56,2143
"LITTLE HENRRY OLLA ENLOZADA 1",64.9,1,28.9,2144
"LA SEREN GRIEGO NATURAL 100G",64.87,13,14.82,2145
"QUILMES CRISTAL X 1 L (RET)",64.75,7,21.07,2146
"ESPADOL SKINCARE X 180G",64.73,6,21.89,2147
"HELLMANNS MAYONESA POMO FLEX X 350 G",64.72,6,25.54,2148
"JABON P.ALA VIVERE MATIC 800G",64.70983,4.99999,19.80995,2149
"LUSTRA MUEBLES BRISHINE X 250 CC",64.7,11,20.37,2150
"DOMINGO HERMANOS VINO REG BLANCO X 700",64.6,4,18.44,2151
"PEPITOS RELLENAS X 128 G CHOCOLATE",64.5,11,17.42,2152
"KOSIUKO DEO MUSK X 168 ML",64.47,3,21.51,2153
"LINA TOALLAS NOC C/A X 8",64.33,11,23.52,2154
"POLVORITA VAINILLA 150 G",64.29,21,18.3,2155
"EL DIQUE SAL GRUESA X1KG",64.25,20,19.65,2156
"ESPADOL JAB ORIGINAL 2X90G",64.22,6,21.38,2157
"GANCIA X 950 CC",64.22,2,18.02,2157
"ROMYL VELAS X 7 UNIDADES ROJAS/BLANCAS",64.2,5,25.25,2159
"JUGO BAGGIO FRESH MAN.DEL.1.5L",64.18,8,24.01,2160
"PROCENEX AROMA BEBE X 900",64.06,14,19.54,2161
"POET BEBE X 1800 CC",64.03209,6,20.71209,2162
"AGUILA MINI TORTA COCO X 73 G",64,16,18.24,2163
"AYUDIN ROPA BLANCA X 2LTS",64,6,21.88,2163
"BOLDO TARAGUI X 25 SAQ",63.95,12,18.23,2165
"LA SERENISIMA MOZZARELLA .180G",63.93982,4,20.37982,2166
"GODET GELATINA LIGHT CEREZA ARCOR X 30 G",63.93603,16,18.37603,2167
"LUCCHETTI CAB DE ANG X 500 G",63.92,8,15.36,2168
"PATRICHS UOMO  X 105 G",63.91,5,22.91,2169
"LISTERINE ANTI SARRO X 250CC",63.87,3,21.3,2170
"GLADE GLASS HARM REP X UNID",63.84,4,22.72,2171
"ZEBRA LIMPIAHORNOS AERO X 342G",63.83785,4,19.79785,2172
"ORAL B CRE.DENT.PLUS COMP 90G.",63.83,5,17.33,2173
"BAZAR PLATO DURAX HONDO FORJ C",63.8,18,63.8,2174
"MERME.BC NARANJA 390G.",63.7,5,18.25,2175
"KNORR FILETO X 340",63.67,11,17.02,2176
"BOOG NARANJA 30 G",63.63,42,19.95,2177
"CALLIA ALTA 750ML 2 UN",63.5,1,18.25,2178
"YOGS LICUADO DURAZNO X 190 G",63.5,11,14.11,2178
"AQUAFRESH CREMA DENTAL 107G",63.41067,4,22.29067,2180
"BABYSEC CLASICO XG 16",63.4,4,17.44,2181
"CEPILLO PARA BAÐO",63.33018,5,32.08018,2182
"TANG JUGO NAR/DUR.14UN.",63.32066,3,17.03066,2183
"SPRITE X 2000 CC RETORNABLE",63.25,7,14.88,2184
"BOMBONES DE FRUTA ARCOR X 50 G",63.2,2,23.44,2185
"ROMYL ESCOBILLON N¬3",63.2,4,31.6,2185
"JF HERVIDOR N? 16",63.2,1,23.7,2185
"GODET TORTA CHESSE CAKE X 300 G",63.15996,5,17.98996,2188
"MOGUL TORTUGUITA 25G",63.12,31,22.82,2189
"KNORR SOPA CREMA DE ARVEJAS CON JAMON X",63.04,14,20.67,2190
"AXE SECO FULL CONTROL X 152 ML",62.96,4,21,2191
"AXE SECO TEMPTATION X 152 ML",62.96,4,21,2191
"CRECER 3. 250 CC",62.86,14,12.6,2193
"HERBAL ESSENCES SH DOMADOR DE FIERA X 35",62.69,4,21.25,2194
"DULCOR CIRUELA X 500 G",62.56516,13,17.91516,2195
"TIA MARUCA TORTITAS DULCES X 200 G",62.5,10,15.5,2196
"UPA LA LA ! JABON TOCADOR X 90 G",62.42955,9,19.94955,2197
"LUMILAGRO TERMO TATU",62.4,1,20.8,2198
"SER NARANJA DURAZNO X 1500",62.4,8,18.08,2198
"LA ESPAÐOLA TRIGO PELADO X 500 G",62.39,24,17.27,2200
"OLD SPICE CHAMPION 107/150 ML",62.37,3,20.91,2201
"PUREZA INTEGRAL X 1 KG",62.28,12,18.6,2202
"CRE.DENT.ORAL-B MTA SVE 90",62.27767,8,33.47767,2203
"SEDAL SH LISO EXTREMO NUEVO X 200",62.24,6,26.3,2204
"TORASSO LIMA LIMON X 2.5 L",62.24,10,13.94,2204
"ESENCIAL JABON LIQUIDO  X 1.5 L",62.22,2,23.5,2206
"DOVE MEN DEO FRESH X 89",62.11,3,22.54,2207
"POETT PASTILLA RED X 25G",62.1,15,22.95,2208
"ARCOR DULCE DE BATATA LATA X 700 G",61.96,4,16.92,2209
"EXTRALIMP REJILLA PESADA",61.96,4,24.48,2209
"ALGABO SALLY SECRET KISS COLONIA X 50 ML",61.94385,3,33.77385,2211
"CEREAL MIX CACAO Y FR.230 G",61.92,9,17.64,2212
"RAID MATA HORMIGAS X 360",61.79,3,20.6,2213
"SHAMP.SEDAL PRO NAT.200ML.",61.74,6,21.12,2214
"MAROLIO MERMELADA FRUTILLA X 454",61.54,7,17.51,2215
"UNION MATE COCIDO SUAVE X 25",61.53999,10.99999,18.96999,2216
"KNORR SALSA CICA 4 QUESOS X 46 G",61.3,10,17.8,2217
"MR MUSCULO GLADE LAVANDA X 900",61.27,11,20.79,2218
"SELECCION CHOCOLATES ARCOR X 250 G",61.18,2,22.42,2219
"THOLEM AZUL ESTILO FRANCES X 190 G",61.16,6,14.42,2220
"MR MUSCULO CREMA MA DE CAMP X 450",61.08637,8,19.43637,2221
"VANOLI ACEITUNAS RELLENAS X 330 G",61.08,6,21.66,2222
"PANTENE ACOND CONTROL CAIDA X 200 ML",61.06001,4,19.78001,2223
"ESPADOL JABON LIQUIDO X 250 ML",61.05,3,18.93,2224
"LA MORENITA MANZANILLA X 20 UND",61.05,24,21.21,2224
"MRMUSULO LIMP. L  ANTIGR.900ML",61.03,6,21.73,2226
"DAYS VASO SORBETE ESPIRAL BEN 10 NUEVO",60.94852,2,17.86852,2227
"ATUN M&K DESM 170g",60.7899,10.99998,18.87998,2228
"JOHNSON´S TALCO MILK 200G",60.76004,4,20.40002,2229
"GIGANTE ANTIBACTERIAL X 750 MANZANILLA",60.6393,12,17.6793,2230
"7UP X 1500 CC  FREE",60.62,5,16.45,2231
"GLADE NAT INF. FLORAL PERFECTION X ML",60.54,3,20.67,2232
"LUSTRA MUEBLES BRISHINE X 400 CC",60.4,5,18.45,2233
"CEREALITAS CLASICAS 194G",60.39,11,15.29,2234
"VILLA DEL SUR LEVITE ANANA X500 ML",60.39,11,19.47,2234
"ILOLAY POSTRE C/CRISPINES X 110 G",60.23166,11,15.46166,2236
"LA ESPAÐOLA MAIZ PISINGALLO X 500 G",60.22,14,18.92,2237
"LUMILAGRO TERMO JOVEN",60.15,1,20.05,2238
"TARAGUI YERBA S/PALO X 500 G",60.12,4,15.6,2239
"ENVASE CER/GACEOSA",60,20,0,2240
"COLGATE ENJ.BUC. PLAX WH.500ML",59.98,2,20.26,2241
"EXTALIMP ABRELATAS MARIPOSA",59.97,3,29.31,2242
"7UP X 1500 CC",59.95,5,14.1,2243
"MR MUSCULO DISCOS REP CITRICA",59.95,5,19.95,2243
"DAYS VASO CON SORBETE GARFIELD",59.93022,3,25.43022,2245
"DOVE TRAT TERAP X 350",59.9,2,22.92,2246
"JOVIFEL SARTEN C/ANTIADHE 22",59.9,1,22.6,2246
"TENTACIONES GALL. MOUSSE 85G",59.9,10,15.7,2246
"CLEAR SHAMP DUAL EFF 2X1 X200ML",59.88,4,22.24,2249
"COCA COLA X 500 CC LIGHT",59.88,12,9.96,2249
"CERAL MIX COPOS DE MAIZ 160 G",59.85,12,16.05,2251
"MAGISTRAL NARANJA X 600 ML",59.85,3,24.24,2251
"CBSE ENDULZADA CORMILLOT X 500",59.84,4,16.28,2253
"THOLEM LIGHT 4 QUESOS 190 G",59.8,6,13.06,2254
"ARCOR DULCE DE BATATA VAINILLA X 500 G",59.71,9,18.13,2255
"RIERA TOSTADAS FIBRA 200G.",59.53,7,16.62,2256
"TRENET ECONOMICO X 500 CM3",59.52612,7,20.32611,2257
"NEREIDA ATUN EN ACEITE DESM X 120 G",59.5,6,20.8,2258
"BELAROM MIX PASTILLAS X 60",59.47,17,22.41,2259
"CALIPSO ANAT C/FRAG X 8",59.41,23,23.3,2260
"CAROL SET TIJERAS  X 2 U.",59.4,3,26.4,2261
"SHAMP.CAPILATIS ORTIGA 410ML",59.07,2,27.51,2262
"CHOCOLINO 360G",59.06,5,18.11,2263
"ILOLAY QUESO VITA MAGRO X 200 G",59.06,5,16.71,2263
"KONGO GATOS 1KG.",59.04,3,16.86,2265
"SALADIX PIZZA X 30 G",59.04,25,19.29,2265
"QUAKER EXTRA FINA X 400 G",59,10,15.6,2267
"CHUKER X 600 CM3",58.99,5,19.19,2268
"LOS HAROLDOS RESERVA CABER.  SUAV X 750",58.96,2,23.86,2269
"ILOLAY POR SALUT UNTABLE X 200 G",58.95,6,14.04,2270
"QUESABORES SANCOR 4 QUESOS 150",58.76,4,12.04,2271
"QUESABORES SANCOR PROVO 150G",58.76,4,12.04,2271
"ALIJOR BIZCOCHUELO RED 550 G",58.7,2,19.7,2273
"NIVEA DRY CONFORT X 150 ML",58.65,4,20.41,2274
"VILLA RICA AZUCAR IMPALPABLE X 500 G",58.5,6,22.02,2275
"THOLEM 4 QUESOS X 190 G",58.44,6,11.7,2276
"THOLEM LIGHT CLASICO X 190 G",58.44,6,11.7,2276
"BONAFIDE CAFE SENSACIONES INTE X 250 G",58.36,4,16.68,2278
"GODET POSTRE DULCE DE LECHE X 140 G",58.13722,19,16.33722,2279
"PATY ESTILO CRIOLLO X 400 G",58.12,2,22.44,2280
"DECFA MIEL X 250 G",58.08,5,17.73,2281
"KOSIUKO PERFUME GRASS 100ML",58.06,3,20.47,2282
"LA SERENISIMA QUESO CHEDDAR X 180 G",58.06,3,20.32,2282
"ACE LIQUIDO X 3000",58.03,1,24.1,2284
"RIERA TOSTADAS VITAM.200G.",58.03,7,15.12,2284
"SERTAL PERLA X UNID",58,29,23.2,2286
"EXTRALIMP  ROCIADOR PARA LIQ",57.9999,7.99999,17.91997,2287
"VERITAS DEO FAMILIAR FIRME X 400 CC",57.96,4,19.32,2288
"KLARO APRESTO GATILLO X 500",57.87,3,19.32,2289
"TERRABUSI SPAGHET.100 AÑOS",57.83,7,17.02,2290
"MAROLIO MERMELADA DAMAZCO X 454",57.8,8,19.08,2291
"GLADE I LOVE YOU AERO X 360 CM",57.77,7,19.06,2292
"COLGATE PLAX ICE X 500 ML",57.6,3,19.53,2293
"NUVA HERMETICO REDONDO X 200 ML",57.6,17.99998,26.10002,2293
"K-OTHRINA X 500 CC",57.57,2,22.33,2295
"CRUZ DE MALTA YERBA X 500 G",57.56619,5,17.01619,2296
"SUAVE AC JAZMIN 930ML",57.56,5,19.36,2297
"FANACOA KETCHUP X 250 G",57.51797,13,16.69797,2298
"FAVORITA FIDEO TIRABUZON X 500 G",57.51188,12,19.45188,2299
"DON RICARDO MORRONES X 1K",57.48,2,17.88,2300
"DEO.AXE AERO.B SPRAY 160ML.",57.4,3,22.33,2301
"SUAVIZANTE VIVERE CONC.500ML",57.36,3,17.79,2302
"KNORR QUICK POLLO X 5 SOB",57.32,8,-5.22,2303
"ALA LAVAV GLICERINA X 4 LTS",57.25285,2,17.55285,2304
"LA SERENISIMA RICOTTA X 500 G",57.24,4,13.2,2305
"PANTENE ACON HIDRATACION BALANC X 200",57.16,4,17.68,2306
"LADYSOFT PROT S/ALAS X 20",57.15275,14,19.89275,2307
"TIA MARUCA PEPITAS X 200 G",57.12,9,15.72,2308
"GODET GELATINA MANZANA X 100 G",57.07358,14,15.91358,2309
"PANTENE RESTAURACION X 300 ML",57.07138,2,17.51138,2310
"MATARAZZO CODITO X 500 G",57.05,7,15.75,2311
"CEREAL MIX YOGHURT VAINILLA X 28 G",57,19,17.67,2312
"CERA GLOCOT AUTOBR.REV.900ML",56.98,2,24.6,2313
"SIEMPRE LIBRE TANGA C/A 8U",56.95,5,19.2,2314
"ECO BOLSA RESIDUO 45X60 CM",56.94,6,25.74,2315
"POETT LIMPIADOR LIQUIDO DUL MOMENTOS 900",56.73421,10,16.73421,2316
"BOLSA 3.50 PESOS",56.63889,16,15.51889,2317
"ARIEL JAB EN POL MATIC X 3 KG",56.6,1,14.66,2318
"ALGABO GEL EX.BRILLO Y C.475G",56.45915,4,24.25915,2319
"POETT DEO.AMB. FRAG/REP.250ML",56.34,4,19.86,2320
"DUFOUR DEO + COLOG BLACK",56.25,1,18.75,2321
"TIA MARUCA TRIANGULITOS DE HOJALDRE X 20",56.25,9,13.95,2321
"GLADE 2 EN 1 REP ECON X 35 G",56.23,6,17.41,2323
"KNORR SOPA CASERA DEDALITOS X 73 G",56.12111,13,18.55111,2324
"JOHNSONS SH OSCURO X 200",56.12,4,19.48,2325
"POETT PERF P/ TELA SED.PRIMAV. REP X 250",56.12,4,21.36,2325
"ORAL B CRE.DENT. PRO SALUD 150",56.1,3,12.96,2327
"BABELITO CHUPETE C/BORDE GOMA TALLE 1",56,2,19.82,2328
"COFLER CHOCOLATE  AIR.ALM.60G",56,8,18,2328
"JOVIFEL RELOJ CUADRADO AZUL",56,1,24.54,2328
"AZUCARADAS MARMOLADAS X 80 G",55.98,29,17.37,2331
"CIF LIMP. DIA. BAÐO X 500 ML",55.97,6,19.43,2332
"ALGABO BABY COLONIA DULCES MIMOS X 236 M",55.96,4,31.44,2333
"PEPSI X 2250 CC",55.96,4,12.6,2333
"COCINERO FRITOLIM ACEITE ROCI X 120",55.94,4,16.7,2335
"DAYS VASO SORBETE SAPO PEPE",55.93002,2.99998,21.43004,2336
