"Emisión: 31/10/12 12:51:54
Los mas Vendidos Cant.
Año : '2012' , Mes : 'JUL' , Cantidad. : '1000' , Local : 'SUPER EL MERCADITO,SUPER EL MERCADITO (CAPACITACI'"
"LA SERENISIMA JUNIOR FRUTILLA X 1 L",229.32,28,56.28,765
"LA ESPAÐOLA GARBANZO X 500 G",127.55673,28,35.15673,765
"KNORR PURE DE PAPAS X 125 G",174.19,28,55.19,765
"KINDER BUENO X 43 G",197.96,28,66.08,765
"JUGO P.TANG LIMONADA 25G.",44.74,28,13.34,765
"JABON P.ALA MULTI.C/VIV.V.400G",157.98044,28,41.78044,765
"ILOLAY CREMA DE LECHE X 350 G",352.52,28,98.28,765
"GODET GELATINA FRAMUESA X 100 G",112.93,28,32.82,765
"GILLETTE MACH 3 REP 1 UNI.",450.27194,28,135.55194,765
"SER COLCHON DE FRUTAS Y CEREAL",216.86389,28,49.42389,765
"GIGANTE LAVAVA  X 750 LIMON",139.67277,28,39.43277,765
"ESPADOL JAB ORIGINAL 3X90G",414.7,28,131.9,765
"DESFILE LIA X 400 G",199.64,28,56.56,765
"VANOLI ACEITUNA X 1K",675.58786,27.74,345.26586,786
"ARCOR PULPA DE TOMATE X 520G",94.72006,27.00002,27.44002,787
"TOYS HUEVOS ARCOR X 22 G",135.27009,27.00002,46.98003,787
"FARGO RAVIOLES 4 QUESOS X 500 G",487.58022,27.00001,142.13006,789
"AGUILA CHOCOLATE TAZA X 100 G",311.40352,27,106.20352,790
"COFLER EXTRA MANI X 46 G",81.42,27,30.12,790
"FELA SALCHICHA X 12 UNDS",305.27,27,108.17,790
"YOGURISIMO GO VAINILLA X 190 CC",146.28,27,30.99,790
"VIÐAS DE ALVEAR TINTO X 700 CC",322.97,27,101.84,790
"VILLA RICA CAFE X 25 SAQ",182.25,27,68.04,790
"VANOLI ACEITUNAS X 150 G",65.57826,27,19.94826,790
"TERMIDOR CAJA TINTO X 1 L",235.49,27,69.66,790
"SUSARELLI ROJO X 1 KG",245.28,27,65.04,790
"SOLITAS EXHIBICION X 1 K",354.37,27,129.51,790
"SERENITO CRASH VAINILLA PACK X 2",188.73,27,44.55,790
"SER YOGUR BEBIBLE MIX DE FRUTAS X 185 G",146.4,27,31.56,790
"ZUKO CERO JUGO P.MANGO 9G",20.16967,27,8.82967,790
"SER POMELO R POLVO X 11.5 G",43.15,27,13.72,790
"ROSAMONTE YERBA MATE SUAVE X 500 G",343.86,27,92.49,790
"KEVIN BY CANNON X 250 ML",662.72715,27,226.13715,790
"JUNIOR CON JUGO DE FRUTILLA X 200 CC",98.75999,27,21.53998,790
"JABON T.PLUSBELLE EQUIL.150G",130.88999,27,53.93999,790
"ILOLAY YOGUR DESC VAIN.FIRME X 200 G",69.93,27,17.55,790
"HELLMANNS MAY LIBRE DE COLES X 250",119.42,27,14.93,790
"GATORADE MANZANA X 1.25 L",569.62881,27,159.22881,790
"EXPRESS CLASICAS X 324 G",188.73,27,68.04,790
"EFFICIENT REXONA X 200 G",459.54211,27,156.06211,790
"DANICA MAYONESA FIESTA X 250 G",74.81,27,13.52,790
"COMBO KNORR QUICK+HELLMANS 125",254.50161,27,254.50161,790
"CERROS TUCUMANOS DURAZNO X 1 L",128.52556,27,34.02556,790
"CBSE SILUETA CORMILLOT X 500 G",377.46,27,104.07,790
"LA SERENISIMA POR SALUT LIGHT X 200 G",253.16278,26.99999,57.14278,817
"7UP X 500 CC",134.72988,26.99998,41.03996,818
"LA PAULINA QUESO BARRA X  K",1312.79747,26.01,516.89148,819
"COFLER AIREADO BLANCO Y LECHE X 60 G",91.00007,26.00002,31.20003,820
"BROCHE DE ORO YERBA X 500 G",252.8408,26.00001,77.60077,821
"AGUILA BARRA CHOC X 14 G AMARGO",52,26,21.58,822
"ARIES CARBON 3 K",227.24003,26,68.24003,822
"COFLER BARRA CON MARROC 30G",78.76754,26,29.36754,822
"ELITE HOJA SIMPLE 6 X 30 M ALOE",293.91454,26,96.05454,822
"HOJALMAR RONDA X 150 G",90.63775,26,23.79775,822
"ILOLAY VITA C/ TROZOS FRUT .X 160",113.99,26,34.69,822
"NOSOTRAS PROT TANGA X 15",150.3436,26,51.0236,822
"MOGUL TIBURONCITOS X 30 G",52.66,26,19.34,822
"MERCI VAINILLA X 150 G",78.99088,26,22.05088,822
"MANA RELLENAS VAINILLA X 165 G",130.44,26,35.28,822
"LA VIRGINIA CAFE INSTANTANEO X 50 G",221.65,26,72.15,822
"KNORR SOPA CREMA DE ESPARRAGOS X 68.5 G",126.46139,26,47.32139,822
"JUGO CEPITA NARANJA T-B 200ML.",51.74,26,17.16,822
"ILOLAY CREM LIGHT X 300 G",265.34,26,68,822
"GRANIX SALVADO X 235 G",108.94,26,28.86,822
"YOGURISIMO GO FRUTILLA X 190 CC",140.14,26,29.12,822
"YOGUR SANCOR FORT VAIN X 190G",110.71,26,25.69,822
"VASO PLASTICO COLOR",74.95,26,35.95,822
"SIEMPRE LIBRE ESP C/A 16",233.56,26,80.42,822
"SANCOR FLAN CASERO 2 X 120 G CARAMELO",241.54,26,54.86,822
"POETT LIM LIQ ESP JOVEN X 900",125.44191,26,36.52191,822
"PAMPERS JUEGOS Y SUEÐOS X 10 (G)",382.17,26,138.55,822
"DOVE JABON HIDRA X 90 G",170.42375,26,55.76375,822
"COFLER AIREADO BLANCO X 60 G",177.38,26,57.03,822
"BAGGIO MULTIFRUTA X 200 CC NUEVO",58.6642,26,16.8042,822
"BOLSA 5.00 PESOS",131.95013,26,43.55013,822
"LA SERENISIMA CASANCREM LIGHT X 320 G",363.08001,25.99999,74.22001,848
"LA LOMA SARDO KG",1622.01814,25.33,619.75803,849
"ACE MATIC NATURALEZA ALOE VERA MANZ 3 K",689.37301,25,250.26301,850
"ACTIVIA CIRUELA X 750 CM",248.36,25,53.11,850
"REXONA JAB REV FRESH X 125",99.21243,25,27.96243,850
"RECETAS DE LA ABUELA PEPAS X 200",100.87,25,29.62,850
"NORTON CLASICO TINTO X 750 ML",424.75,25,102.25,850
"NESCAFE DOLCA SUAVE RENOV.50G.",226.25,25,66.36,850
"MINI OREO X 50 G",88.23,25,30.48,850
"MENTHO PLUS MENTOL",50,25,19.5,850
"MATARAZZO SPAGHETTI X 500 G",191.81,25,47.97,850
"MAROLIO CAB EN ACEITE 380",302.09,25,90.34,850
"KNORR SOPA CREMA DE ESPINACA X 69",118.64,25,44.31,850
"KNORR CALDO DE GALLINA EDICION X 6",150.19,25,42.87,850
"JUGO P.ARCOR PERA 25G.",37.13784,25,14.38784,850
"JUGO P.ARCOR MULTIFRUTA",38.84,25,11.59,850
"JABON T.REXONA NATURAL 3UN",275.11691,25,94.24691,850
"GATORADE FRUTAS TROPICALES X 1.25 L",528.04355,25,148.04355,850
"FARGO LACTEADO X 470 G",312.4,25,81.1,850
"DVD $ 2.00",50.56,25,25.56,850
"COFLER OBLEA  35G.",75.42,25,26.17,850
"VIENISSIMA LIGHT X 6 UNDS",241.66,25,74.06,850
"SER ALFAJOR BAGLEY X 42 G",89.46,25,26.21,850
"RIERA TOSTADAS CLASICAS MESA  200 G",172.5,25,45.75,850
"RI-K MAYONESA X 125 G",42.48,25,12.48,850
"OREGANO ALICANTE 25GRS G.NEGRO",119.23,25,54.23,850
"NOSOTRAS TOALLA NAT.PLUS  X 8",126.95,25,44.7,850
"LA VIRGINIA TE FILTRADO R.100U",294.58865,25,96.83865,850
"LA GOTITA X 2 ML",146.95,25,49.2,850
"BORITA BRISA DE CAMPO X 900",177.08188,25,73.97188,850
"BOLSA 4.00 PESOS",100,25,53.75,850
"ALA SOL JABON P. REGULAR 800G.",316.07837,25,91.57837,850
"ARCOR DULCE DE MEMBRILLO X K",409.89697,24.985,170.29082,880
"ABUELA SOPA POLLO ALICANTE 65G",120.24199,24,43.92199,881
"ACE NATURALS ALOE VERA MANZ X 400G",78.96,24,19.2,881
"ALA JABON MATIC X 800 G",305.5393,24,90.0193,881
"ALICANTE PIMIENTA BLANCA MOLIDA SELEC 25",130.84,24,49.48,881
"POLVORITA FRUTILLA 150 G",72.6,24,20.04,881
"MOGUL MADAGASCAR 3",48,24,17.76,881
"MENTHO PLUS STRONG X 30.6 G",48,24,11.52,881
"KIN AGUA MINERALIZADA S/GAS X 2000 CC",131.76,24,34.8,881
"GREEN HILLS TE CLASIC X 25 UNID",126.28635,24,46.60635,881
"GRANIX TRIGALITAS X 120 G",57.06,24,15.06,881
"DANONINO BEBIBLE FRUTILLA PACK X 4",296.68,24,71.08,881
"COFLER BLANCO AIREADO X 30 G",84,24,28.8,881
"CITRIC NARANJA X 500 CC",145.2,24,41.28,881
"CIF CREMA X 375G",141.38211,24,52.80211,881
"BON O BON ALFAJOR 3",96,24,28.28,881
"BAZAR PLATO DURAX HONDO FORJ C",83.37276,24,83.37276,881
"PLUSBELLE JABON PURIFICA X140G",114.66,24,39.12,881
"PAMPERS BABYSAN X 14 (XG)",509.09981,24,88.37965,881
"PALADINI HAMBURGUESA X 2 UNDS",226.56,24,90.24,881
"LYSOFORM AIRE DE MONTAÑA AERO X 360 CM",334.82,24,97.94,881
"LUCCHETTI CALDOS VERDURA X 12 UNDS",166.98969,24,43.70969,881
"LIMOL JABON T. ARMONIA 3X90G",149.21456,24,47.21456,881
"LIMOL JABON SUAVIDAD DE PETALOS 3X90",149.02915,24,47.02915,881
"LA VIRGINIA CAFE INSTANTANEO SUAVE X 100",238.99,24,79.63,881
"LA CAMPAGNOLA ATUN AL NATURAL  X 120 G",380.44,24,114.52,881
"YOGUR MANFREY ENT.DULCE DE LEC",57.13,24,16.96,881
"SUSARELLI AZUL X 1 KG",278.78,24,95.9,881
"SOLITAS SURTISOL FAMILIAR X 1 K",316.74835,24,115.06835,881
"SIMPRE LIBRE SLINIA ULTRA X 8",212.16,24,70.8,881
"SANCOR FLAN CASERO 2 X 120 G DULCE DE LE",226.86,24,54.54,881
"SANCOR DULCE DE LECHE 400G",267.09419,24,71.45419,881
"ALICANTE SOPA CREMA DE HUMITA X 69 G",118.2536,24,34.2536,881
"ALICANTE OREGANO X 50 G",218.6,24,100.04,881
"YOGS SANCOR FRUTILLA LICUADO X 190 G",136.44378,23.99999,28.68378,914
"ACTIMEL NATURAL X 100 CC",58.88,23,14.26,915
"ALWAYS PROTEC DIARIOS X 54 UNDS",423.51605,23,145.67605,915
"ACTIVIA BEBIBLE MANZA CIRUELA X 200",146.89,23,33.96,915
"ACTIVIA FRUTILLA 0% 2X125G",155.73,23,37.97,915
"ARCOR CHOCLO AMARILLO CREMOSO X 350 G",158.07,23,45.83,915
"ARCOR CHOCLO ENT 310G",153.18,23,31.51,915
"LA SERENISIMA LECHE FE DESCREMADA X 1 L",187.80069,23,37.15069,915
"LA SEREN GRIEGO NATURAL 100G",103.61,23,20.34,915
"LA MORENITA TE X 50 G",101.67,23,28.76,915
"JABON T.REXONA NUTRI FR.3X125",249.55832,23,83.34832,915
"JABON P.SKIP PR.MATIC 800G",429.57,23,137.51,915
"IRENE FIDEOS DOBLADITOS VERDE X 500G",196.59964,23,48.42964,915
"INCA ARVEJAS X 350",67.45016,23,20.30016,915
"ILOLAY CREM CLS X 300",229.54,23,63.48,915
"HUGGIES CLASSIC XG X 8",270.71,23,75.9,915
"GRANIX FRUTIGRAN C/AVENA Y PASAS X 250 G",168.82,23,43.7,915
"VILLA DEL SUR LEVITE MANZA X 1500 CC",178.41,23,53.47,915
"TABLETA X 1 UND",17.25,23,8.28,915
"SWIFT GRASA X 1 KG",450.77996,23,131.30996,915
"SER YOGUR FORTIFICADO FRUTILLA X 1L",201.09,23,41.24,915
"SEDAL ACON RECONST X 300",257.39,23,80.98,915
"SEDAL AC RIZ OBE NUEVO X 200",235.37,23,79.66,915
"MAROLIO PAN RALLADO X 500 G",78.44,23,22.78,915
"FARGO PIZZA 2 UNID X 500 G",217.03,23,57.09,915
"COCA COLA X 500 CC ZERO",114.77,23,19.09,915
"CAREFREE PROT.DIA. LARGO 20",250.50309,23,85.13309,915
"BRANCA FERNET X 750 CC",1210.61,23,343.28,915
"BABY ALGABO TOALLAS HUM X 80 ALOE",205.40942,23,83.04942,915
"BAYASPIRINA (C)  X SOBRE",54.78,22,25.08,943
"BLANCAFLOR PIZZA CASERA X 500 G",168.98,22,46.44,943
"DELICIA MARGARINA MOLINOS X 500 G",239.0759,22,70.9959,943
"ODOLITO X 50G",138.22807,22,46.04808,943
"MAGISTRAL LIMON X 600 ML",367.4,22,126.94,943
"LINCOLN CLA.153G",102.95939,22,29.95939,943
"JUGO P.ARCOR NARANJA 25G",32.84334,22,12.82334,943
"GRANIX SIN SAL X 185 G",92.18,22,23.54,943
"GRANIX SAÑVADO 810 G",241.78,22,58.96,943
"GRANIX SALVADO SIN SAL LIGHT X 410 G",242.57582,22,63.71582,943
"GATORADE NARANJA X 200 CC",83.16,22,21.56,943
"DULCOR DURAZNO X 500 G",104.5,22,31.24,943
"ZORRO BIO CRIST MATIC X 400",90.36,22,17.32,943
"YOGS SANCOR BANANA LICUADO X 190 G",125.22189,22,26.44189,943
"TE LA MORENITA RAP.INFUSION 25",55.79297,22,24.11297,943
"SEDAL ACOND CERAM X 300 ML",241.78,22,73.04,943
"SALADIX JAMON X 30 G",52.14,22,17.16,943
"RED BULL ENERGY DRINK X 250 CC",221.78,22,66.47,943
"POLYANA TALCO DE LUJO X 200 G",87.95539,22,29.57539,943
"POETT PASTILLA RED X 25G",89.24,22,31.82,943
"PEPSI X 1500 CM3",243.32,22,60.06,943
"ZORRO JAB EN POL C/SUV X 400 G",89.24,22,14.88,943
"COFLER CHOCOLATE AIR.ALM.30G.",77,22,26.4,943
"BOLS LICOR MENTA X 200",111.4,22,10.2,943
"BON O BON POSTRE X 110 G",152.62,22,49.86,943
"LAMPARA OSRAM 15W/865",323.19,21.00001,102.9,968
"ALICANTE SALSA BLANCA X 40 G",82.74,21,28.77,969
"ALICANTE SOPA TIPO CRIOLLA X 72 G",106.92199,21,38.67199,969
"BABELITO TOALLITAS HUMEDAS",224.49,21,59.22,969
"ALWAYS BASIC C/ALAS X 8",104.61536,21,41.40536,969
"NESCAFE DOLCA SUAVE X 170 G",515.91,21,161.45,969
"MARBELLA CABALLA AL NATURAL X 425 G",244.50999,21,73.56999,969
"M&K COCTEL DE FRUTAS X 820 G",206.17,21,86.47,969
"LIMOL JAB AIRES DE PUREZA 3X90G",130.70711,21,41.45711,969
"LA ESPAÐOLA MAIZ PISINGALLO X 500 G",78.89,21,23.66,969
"HARPIC BLOQ PARA MOCHILA PINO X 50 G",251.46,21,87.66,969
"FIDEO RIVOLI MOÐO CHICO X 500G",92.18558,21,28.24558,969
"FIBRALIMP TRAPO DE PISO",68.7,21,25.02,969
"ESENCIAL LAV X 1 LTS",79.06,21,23.2,969
"CORMILLOT MERMELADA DURAZNO X 390G",184.8008,21,54.3908,969
"SANCOR LECHE CHOCOLATADAX 1 L",238.93,21,60.72,969
"SANCOR CHOCOLATADA X 250 CC",132.18146,21,34.53146,969
"SANCOR BEBE 3 X 1L",297.99,21,59.64,969
"ROSAURA TORTA DE HOJALDE RECTANGULAR",866.9,21,152.9,969
"ROSAURA CONITOS CON DULCE DE LECHE",74.99,21,74.78,969
"POETT LIMPIADOR LIQUIDO BEBE X 900 CC",101.84068,21,30.02068,969
"PATY HAMB LIGHT X 4",499.08,21,180.09,969
"COFLER BLANCO CO COOKIES X 55 G",143.75,21,51.14,969
"BC JUGO NARANJA X 1 L",124.46,21,31.36,969
"VIRULANA ROLLITOS X 10 U",129.9474,21,59.5974,969
"VIENISSIMA C/QUESO X 225 G",246.07918,21,72.82918,969
"TURRON MANICOL 100G",83.8378,21,35.7478,969
"TRES PATITOS FOSFOROS X 222 UNID",52.29,21,12.39,969
"TRAVIATAS X 5 X 505 G",217.81181,21,58.87181,969
"SNACK MIX PEPSICO 47 GRS.",105.7,21,18.55,969
"SEDAL REC ESTRU SH X 300",233.50493,21,72.43493,969
"SEDAL ACON LISO PERF NUEVO X 200",212.05819,21,69.88819,969
"KNORR SOPA CREMA DE VERD LIGHT X 40.5",119.15648,20.99999,31.37648,1000
